i,x
0,[1 1 0]
1,[1 1 0]
2,[0 1 0]
3,[1 1 0]
4,[1 1 0]
5,[0 1 0]
6,[0 1 0]
7,[0 0 0]
8,[0 0 0]
9,[1 0 0]
10,[1 0 1]
11,[1 0 0]
12,[1 0 0]
13,[1 1 0]
14,[1 1 0]
15,[1 0 0]
16,[1 0 0]
17,[1 0 0]
18,[1 0 0]
19,[1 0 0]
20,[1 1 0]
21,[1 1 0]
22,[1 1 0]
23,[1 0 0]
24,[1 0 0]
25,[1 1 0]
26,[1 1 0]
27,[0 1 0]
28,[0 1 0]
29,[1 1 0]
30,[1 1 0]
31,[1 1 0]
32,[1 1 0]
33,[1 1 0]
34,[1 1 0]
35,[1 0 0]
36,[0 0 0]
37,[0 1 0]
38,[0 1 1]
39,[0 1 0]
40,[1 1 0]
41,[0 1 0]
42,[0 0 0]
43,[0 1 0]
44,[0 1 0]
45,[0 0 0]
46,[0 0 0]
47,[0 0 0]
48,[0 1 0]
49,[0 0 0]
50,[0 0 0]
51,[1 0 0]
52,[1 0 1]
53,[0 0 1]
54,[0 0 1]
55,[0 1 1]
56,[0 0 1]
57,[0 0 1]
58,[0 0 1]
59,[0 1 1]
60,[0 1 0]
61,[1 1 0]
62,[1 1 0]
63,[1 1 0]
64,[0 1 0]
65,[0 0 0]
66,[0 0 1]
67,[0 0 1]
68,[1 0 1]
69,[1 0 1]
70,[1 0 0]
71,[1 0 0]
72,[1 0 0]
73,[1 0 1]
74,[1 0 1]
75,[1 0 1]
76,[0 0 1]
77,[0 0 1]
78,[1 0 1]
79,[1 0 1]
80,[1 0 0]
81,[1 0 0]
82,[1 1 0]
83,[1 1 0]
84,[0 1 0]
85,[1 1 0]
86,[1 1 0]
87,[1 1 0]
88,[0 1 0]
89,[0 0 0]
90,[0 1 0]
91,[0 0 0]
92,[0 1 0]
93,[0 0 0]
94,[0 0 0]
95,[0 0 0]
96,[0 0 0]
97,[0 0 0]
98,[0 0 0]
99,[0 0 0]
100,[0 0 0]
101,[0 0 0]
102,[0 0 0]
103,[0 0 0]
104,[0 0 0]
105,[0 1 0]
106,[0 1 0]
107,[0 1 0]
108,[1 1 0]
109,[0 1 0]
110,[0 1 0]
111,[1 1 0]
112,[0 1 0]
113,[0 1 0]
114,[0 0 0]
115,[0 0 0]
116,[0 1 0]
117,[1 1 0]
118,[1 0 0]
119,[1 0 1]
120,[0 0 1]
121,[0 0 0]
122,[0 0 0]
123,[0 0 0]
124,[0 0 1]
125,[0 0 0]
126,[0 1 0]
127,[0 1 0]
128,[0 1 0]
129,[0 1 0]
130,[1 1 0]
131,[1 0 0]
132,[1 1 0]
133,[1 1 0]
134,[0 1 0]
135,[0 1 0]
136,[0 1 1]
137,[1 1 1]
138,[1 1 0]
139,[1 1 0]
140,[1 1 1]
141,[0 1 1]
142,[0 1 1]
143,[0 1 0]
144,[0 0 0]
145,[0 0 0]
146,[1 0 0]
147,[1 0 1]
148,[1 0 1]
149,[1 0 1]
150,[1 0 1]
151,[1 0 1]
152,[1 0 0]
153,[1 0 0]
154,[0 0 0]
155,[1 0 0]
156,[1 0 0]
157,[0 0 0]
158,[0 0 0]
159,[0 0 0]
160,[1 0 0]
161,[1 0 1]
162,[1 1 1]
163,[1 1 1]
164,[0 1 1]
165,[1 1 1]
166,[1 0 1]
167,[1 0 1]
168,[1 0 1]
169,[1 0 1]
170,[1 0 1]
171,[0 0 1]
172,[0 0 1]
173,[0 0 1]
174,[0 0 1]
175,[0 0 0]
176,[0 0 0]
177,[0 0 0]
178,[1 0 0]
179,[1 0 1]
180,[1 0 1]
181,[1 1 1]
182,[1 1 1]
183,[1 1 1]
184,[1 0 1]
185,[1 0 1]
186,[0 0 1]
187,[0 1 1]
188,[0 1 0]
189,[0 1 1]
190,[0 1 1]
191,[1 1 1]
192,[0 1 1]
193,[0 1 0]
194,[0 1 0]
195,[1 1 0]
196,[1 1 0]
