i,x
0,[0 0 1]
1,[1 0 1]
2,[1 1 0]
3,[0 0 0]
4,[1 1 0]
5,[0 0 0]
6,[0 0 0]
7,[1 0 0]
8,[1 0 0]
9,[0 0 0]
10,[0 0 0]
11,[1 0 0]
12,[0 0 0]
13,[0 0 1]
14,[1 0 0]
15,[1 0 1]
16,[1 1 1]
17,[1 0 1]
18,[1 0 1]
19,[0 0 0]
20,[0 0 1]
21,[1 0 1]
22,[0 0 0]
23,[0 0 0]
24,[1 0 1]
25,[0 0 0]
26,[0 0 0]
27,[1 0 0]
28,[1 0 0]
29,[1 0 1]
30,[1 0 0]
31,[1 0 0]
32,[0 0 1]
33,[0 0 0]
34,[0 1 0]
35,[1 0 1]
36,[1 1 1]
37,[1 0 1]
38,[1 0 1]
39,[0 0 0]
40,[1 1 1]
41,[0 0 0]
42,[0 0 0]
43,[0 1 0]
44,[0 1 0]
45,[0 0 0]
46,[1 0 1]
47,[1 0 0]
48,[1 0 0]
49,[0 0 0]
50,[0 1 1]
51,[1 0 0]
52,[1 0 1]
53,[1 0 1]
54,[0 1 1]
55,[0 0 0]
56,[1 0 1]
57,[1 0 1]
58,[0 0 1]
59,[1 1 0]
60,[0 1 0]
61,[1 0 0]
62,[0 1 0]
63,[1 0 1]
64,[0 0 1]
65,[1 0 0]
66,[0 0 1]
67,[1 0 0]
68,[0 0 1]
69,[0 0 0]
70,[0 0 0]
71,[1 1 1]
72,[0 0 0]
73,[0 1 1]
74,[1 0 0]
75,[1 0 1]
76,[1 0 0]
77,[1 0 0]
78,[1 1 0]
79,[1 0 1]
80,[0 0 0]
81,[1 0 0]
82,[0 0 1]
83,[0 0 0]
84,[1 1 1]
85,[1 0 0]
86,[1 0 0]
87,[1 0 1]
88,[1 0 0]
89,[1 0 0]
90,[1 1 1]
91,[1 0 0]
92,[0 1 0]
93,[1 0 0]
94,[0 1 0]
95,[0 1 0]
96,[0 1 1]
97,[0 0 1]
98,[1 0 0]
99,[1 0 1]
100,[0 0 0]
101,[1 0 0]
102,[1 0 0]
103,[1 1 0]
104,[1 1 0]
105,[0 0 1]
106,[0 1 0]
107,[0 0 1]
108,[1 0 0]
109,[1 0 0]
110,[1 0 0]
111,[1 1 0]
112,[1 1 0]
113,[1 1 1]
114,[1 0 0]
115,[1 1 0]
116,[0 1 1]
117,[0 1 0]
118,[1 0 0]
