i,x
0,[1 0 1 0 0]
1,[0 0 0 1 1]
2,[0 0 0 0 1]
3,[1 1 0 1 0]
4,[1 0 1 0 0]
5,[0 0 0 1 0]
6,[1 1 1 1 0]
7,[1 0 0 0 0]
8,[0 0 1 0 0]
9,[0 0 0 1 1]
10,[0 1 0 0 1]
11,[0 0 0 1 0]
12,[1 0 0 0 0]
13,[1 0 1 0 0]
14,[0 0 0 0 0]
15,[0 1 1 0 0]
16,[0 1 1 1 1]
17,[0 1 0 0 0]
18,[1 0 1 0 0]
19,[1 0 1 0 0]
20,[0 1 0 0 0]
21,[0 1 1 0 1]
22,[1 1 0 1 1]
23,[1 1 1 1 1]
24,[1 1 0 1 0]
25,[0 0 0 1 1]
26,[0 1 0 1 1]
27,[0 0 0 0 1]
28,[1 0 0 0 0]
29,[0 0 0 1 1]
30,[1 0 0 1 0]
31,[1 1 1 1 1]
32,[1 1 0 1 1]
33,[0 0 1 0 0]
34,[1 0 1 0 1]
35,[0 0 0 0 0]
36,[1 1 0 1 1]
37,[1 0 0 1 0]
38,[0 1 1 1 0]
39,[0 0 0 0 1]
40,[1 0 0 0 1]
41,[0 0 0 1 1]
42,[0 0 0 0 0]
43,[0 0 1 0 0]
44,[1 1 1 0 0]
45,[0 1 0 0 0]
46,[1 0 0 0 0]
47,[1 1 0 1 1]
48,[0 0 1 1 0]
49,[1 0 0 0 1]
50,[1 0 0 1 0]
51,[0 0 1 1 0]
52,[1 0 0 0 0]
53,[0 1 0 1 0]
54,[1 1 1 1 1]
55,[1 1 1 0 1]
56,[1 1 1 1 1]
57,[1 1 0 0 0]
58,[1 0 1 0 0]
59,[1 0 1 1 1]
60,[1 0 0 0 1]
61,[1 0 1 0 1]
62,[0 0 0 0 1]
63,[1 0 0 0 0]
64,[0 1 0 1 0]
65,[0 0 0 1 0]
66,[0 0 0 0 0]
67,[0 1 0 0 0]
68,[1 1 0 0 0]
69,[0 0 0 0 1]
70,[0 0 0 1 0]
71,[0 1 1 0 0]
72,[1 0 0 0 0]
73,[1 0 1 1 0]
74,[1 0 0 1 0]
75,[0 0 1 0 0]
76,[1 0 0 0 0]
77,[1 0 0 0 0]
78,[1 1 1 1 0]
79,[0 0 0 0 0]
80,[0 0 1 0 1]
81,[0 0 0 0 1]
82,[0 1 1 1 0]
83,[0 1 0 0 0]
84,[1 0 0 1 0]
85,[0 0 1 0 0]
86,[1 0 0 1 0]
87,[0 0 1 0 0]
88,[1 0 1 0 0]
89,[1 0 0 0 1]
90,[1 0 0 0 1]
91,[1 0 0 0 0]
92,[1 0 0 1 0]
93,[0 1 1 1 0]
94,[0 0 0 0 0]
95,[1 0 0 0 0]
96,[0 1 1 0 0]
97,[1 0 0 0 0]
98,[0 0 0 0 1]
99,[0 1 0 0 0]
100,[1 0 1 0 0]
101,[0 1 1 0 1]
102,[0 0 0 0 0]
103,[0 0 1 0 0]
104,[0 0 0 0 1]
105,[1 0 0 0 0]
106,[1 0 0 0 0]
107,[0 0 1 1 0]
108,[0 0 0 1 0]
109,[1 0 1 0 0]
110,[0 1 0 0 0]
111,[1 1 0 0 0]
112,[0 0 1 1 0]
113,[1 0 0 0 0]
114,[0 0 1 0 1]
115,[0 0 0 1 1]
116,[0 1 1 0 1]
117,[0 0 0 1 0]
118,[0 0 1 0 1]
119,[0 0 0 1 1]
120,[1 0 0 0 0]
121,[1 1 0 0 1]
122,[0 0 1 1 0]
123,[1 1 0 0 0]
124,[1 0 0 0 1]
125,[0 1 0 0 1]
126,[0 0 0 0 0]
127,[1 1 0 0 1]
128,[1 0 0 1 0]
129,[0 0 1 0 1]
130,[1 0 0 0 0]
131,[0 0 0 1 0]
132,[1 0 0 0 0]
133,[1 1 0 1 0]
134,[0 0 0 1 0]
135,[0 0 0 1 0]
136,[0 1 0 1 1]
137,[1 1 0 1 1]
138,[1 0 0 0 0]
139,[1 1 0 1 0]
140,[1 0 1 0 0]
141,[1 0 0 1 0]
142,[1 1 0 1 0]
143,[0 0 0 0 0]
144,[0 0 0 0 1]
145,[0 0 1 1 1]
146,[1 0 0 1 1]
147,[1 0 1 0 0]
148,[1 1 1 1 1]
149,[0 1 0 1 1]
150,[1 1 0 1 1]
151,[0 1 0 0 0]
152,[1 0 0 1 1]
153,[1 0 0 0 0]
154,[1 0 1 0 0]
155,[1 0 0 0 1]
156,[1 0 0 0 1]
157,[0 0 1 1 1]
158,[0 0 0 1 1]
159,[0 1 0 0 0]
160,[1 1 0 0 1]
161,[1 0 0 1 1]
162,[1 0 1 0 0]
163,[0 0 0 0 0]
164,[1 1 1 0 0]
165,[0 0 0 0 0]
166,[0 1 0 0 0]
167,[0 1 1 1 0]
168,[0 1 1 0 0]
169,[0 0 0 0 1]
170,[0 0 0 0 0]
171,[1 1 0 1 0]
172,[1 1 1 1 0]
173,[1 0 1 0 0]
174,[1 0 0 0 0]
175,[1 0 1 0 1]
176,[1 0 1 0 0]
177,[1 1 0 0 0]
178,[0 1 1 1 0]
179,[0 0 1 1 0]
180,[0 0 0 0 1]
181,[1 1 1 0 0]
182,[1 0 0 1 0]
183,[1 0 0 0 0]
184,[1 0 1 1 1]
185,[1 0 1 1 1]
186,[0 0 1 0 1]
187,[1 0 1 0 0]
188,[0 1 1 0 1]
189,[0 0 1 1 0]
190,[0 1 0 1 0]
191,[1 0 0 1 1]
192,[0 0 0 0 1]
193,[1 0 0 1 1]
194,[0 1 0 0 1]
195,[0 0 0 1 1]
196,[0 0 0 1 0]
197,[1 1 0 1 0]
198,[0 0 0 0 1]
199,[1 1 0 1 1]
200,[0 0 0 1 0]
201,[0 0 1 1 1]
202,[1 0 1 0 0]
203,[1 1 1 1 0]
204,[1 0 0 1 1]
205,[0 1 0 1 1]
206,[0 1 1 1 0]
207,[1 1 0 0 0]
208,[0 0 1 0 1]
209,[1 0 0 1 0]
210,[0 0 1 0 1]
211,[0 1 1 0 0]
212,[0 1 0 0 1]
213,[0 0 0 1 0]
214,[0 0 1 1 1]
215,[1 0 1 0 0]
216,[0 1 1 1 0]
217,[1 0 0 1 0]
218,[0 0 0 1 0]
219,[1 1 0 0 1]
220,[1 0 0 0 0]
221,[1 0 0 1 0]
222,[0 0 1 1 0]
223,[0 1 0 0 1]
224,[1 0 0 0 0]
225,[1 0 0 0 0]
226,[0 0 0 1 1]
227,[1 1 1 0 0]
228,[0 0 1 0 1]
229,[0 1 0 0 1]
230,[0 0 0 1 1]
231,[0 0 1 0 0]
232,[0 0 1 0 0]
233,[1 1 0 1 0]
234,[1 0 1 1 0]
235,[1 0 0 0 0]
236,[1 0 1 0 0]
237,[1 1 1 1 0]
238,[1 0 0 1 0]
239,[0 0 0 0 0]
240,[0 0 0 0 0]
241,[1 0 0 0 1]
242,[1 1 0 1 1]
243,[0 0 0 1 0]
244,[1 0 0 1 1]
245,[0 0 0 0 0]
246,[0 1 1 0 1]
247,[1 1 0 1 0]
248,[0 1 0 1 0]
249,[1 1 1 1 1]
250,[1 1 1 1 1]
251,[1 0 0 1 0]
252,[0 0 0 0 0]
253,[0 0 0 1 1]
254,[1 1 1 0 1]
255,[0 0 1 1 1]
256,[0 0 0 0 0]
257,[0 1 1 0 1]
258,[1 0 0 1 1]
259,[1 0 0 0 0]
260,[0 0 1 1 1]
261,[1 0 1 0 0]
262,[1 0 0 0 0]
263,[1 0 1 1 1]
264,[0 1 0 1 0]
265,[1 0 0 0 0]
266,[0 1 0 0 0]
267,[0 0 0 0 0]
268,[1 1 1 0 0]
269,[0 1 0 1 0]
270,[0 0 1 0 1]
271,[1 0 0 1 1]
272,[1 0 1 1 1]
273,[1 0 1 0 0]
274,[0 1 1 0 1]
275,[1 0 0 1 1]
276,[0 1 0 0 0]
277,[1 0 0 0 0]
278,[0 1 0 1 0]
279,[0 0 0 1 0]
280,[0 0 0 1 0]
281,[1 1 0 0 0]
282,[0 0 1 0 0]
283,[1 0 1 0 1]
284,[1 0 1 0 0]
285,[1 1 0 0 0]
286,[1 1 1 0 0]
287,[0 0 1 1 1]
288,[1 0 0 0 0]
289,[1 0 0 0 0]
290,[0 0 0 0 1]
291,[0 0 0 0 0]
292,[1 0 0 0 0]
293,[1 0 0 0 0]
294,[1 0 0 0 0]
295,[0 0 0 0 0]
296,[1 0 0 0 1]
297,[1 1 1 0 1]
298,[0 1 1 1 1]
299,[1 1 0 1 1]
300,[0 1 0 1 0]
301,[1 0 0 1 1]
302,[1 0 1 0 1]
303,[1 0 1 0 0]
304,[0 0 1 1 1]
305,[0 0 0 1 1]
306,[0 1 1 1 1]
307,[1 1 0 0 1]
308,[1 0 0 1 1]
309,[1 0 0 0 0]
310,[0 0 1 0 1]
311,[1 1 1 0 1]
312,[1 0 0 0 0]
313,[0 0 0 1 0]
314,[0 0 0 1 1]
315,[1 0 0 1 0]
316,[0 1 0 0 0]
317,[0 1 0 1 0]
318,[1 0 0 0 1]
319,[0 1 1 1 0]
320,[1 1 1 1 0]
321,[1 0 1 0 1]
322,[0 0 0 1 0]
323,[1 0 1 1 0]
324,[0 1 1 1 1]
325,[0 0 0 1 1]
326,[0 0 0 0 0]
327,[1 0 1 0 0]
328,[0 0 1 1 1]
329,[0 1 0 0 0]
330,[0 1 1 1 1]
331,[1 0 0 0 0]
332,[1 1 0 0 0]
333,[1 0 0 0 1]
334,[1 1 0 1 0]
335,[0 1 1 0 0]
336,[1 0 0 0 1]
337,[0 0 1 0 0]
338,[1 0 0 1 1]
339,[1 1 1 1 1]
340,[1 1 0 0 0]
341,[1 0 0 0 0]
342,[0 1 1 1 0]
343,[1 0 1 0 0]
344,[0 0 1 0 0]
345,[0 0 0 1 0]
346,[1 0 0 0 0]
347,[1 1 1 1 0]
348,[0 0 0 0 0]
349,[1 0 0 0 0]
350,[0 1 0 0 0]
351,[1 0 1 0 0]
352,[1 1 0 0 0]
353,[0 1 1 0 0]
354,[0 1 0 1 1]
355,[0 0 1 1 0]
356,[1 1 1 0 1]
357,[0 0 0 1 1]
358,[0 1 0 1 1]
359,[1 1 1 0 0]
360,[1 0 0 0 0]
361,[1 0 1 0 0]
362,[1 1 0 1 1]
363,[1 0 0 1 1]
364,[0 0 1 0 0]
365,[0 0 1 1 1]
366,[0 0 1 0 1]
367,[0 1 0 0 1]
368,[0 0 0 0 1]
369,[0 1 1 1 0]
370,[1 1 1 1 1]
371,[0 0 1 1 0]
372,[1 1 0 0 1]
373,[1 0 0 0 0]
374,[1 0 0 0 0]
375,[0 0 0 0 0]
376,[0 0 1 0 1]
377,[0 0 1 0 1]
378,[1 0 1 0 1]
379,[0 1 1 1 0]
380,[0 0 0 0 0]
381,[1 0 0 1 1]
382,[0 0 1 0 1]
383,[1 0 0 0 1]
384,[1 0 1 1 1]
385,[1 1 1 1 1]
386,[0 0 0 0 0]
387,[1 1 0 1 1]
388,[1 1 0 0 0]
389,[1 0 0 0 0]
390,[1 0 1 0 1]
391,[0 0 1 0 0]
392,[0 1 0 1 0]
393,[1 1 0 0 0]
394,[1 0 0 1 1]
395,[0 0 0 0 0]
396,[0 0 1 0 0]
397,[1 0 0 1 0]
398,[0 0 1 0 0]
399,[1 1 0 0 1]
400,[1 1 1 0 0]
401,[0 1 0 0 1]
402,[0 0 1 1 1]
403,[1 0 0 0 1]
404,[0 0 0 0 1]
405,[0 0 0 0 0]
406,[1 1 0 0 0]
407,[1 1 1 0 0]
408,[1 0 1 0 0]
409,[0 1 0 1 1]
410,[1 1 1 0 0]
411,[0 0 1 1 1]
412,[1 1 1 0 0]
413,[0 0 1 1 0]
414,[1 0 0 0 0]
415,[1 0 0 1 0]
416,[0 0 0 0 0]
417,[1 0 1 1 1]
418,[1 0 1 1 1]
419,[1 0 0 1 0]
420,[1 1 0 1 0]
421,[1 0 1 0 1]
422,[0 1 0 0 0]
423,[0 1 1 0 1]
424,[0 1 0 0 1]
425,[1 0 0 0 0]
426,[0 0 1 0 1]
427,[1 1 1 0 1]
428,[1 0 1 0 1]
429,[0 1 1 0 0]
430,[0 1 1 0 0]
431,[1 1 1 1 1]
432,[1 0 1 0 1]
433,[0 0 0 0 0]
434,[1 1 0 0 1]
435,[1 1 0 0 0]
436,[1 0 0 1 1]
437,[0 0 1 0 1]
438,[1 0 0 0 0]
439,[0 0 0 0 0]
440,[0 0 1 0 1]
441,[1 1 0 1 1]
442,[0 0 0 0 1]
443,[0 1 1 0 1]
444,[0 0 0 0 1]
445,[1 0 1 1 0]
446,[0 1 1 0 0]
447,[1 0 0 0 0]
448,[0 1 1 0 0]
449,[1 1 1 1 1]
450,[1 0 0 0 0]
451,[0 1 1 0 0]
452,[1 1 1 0 0]
453,[0 0 0 1 1]
454,[0 0 1 0 0]
455,[1 0 0 0 0]
456,[1 1 1 1 1]
457,[1 0 1 0 0]
458,[1 1 1 1 1]
459,[0 0 1 1 1]
460,[1 1 1 1 0]
461,[1 1 0 0 1]
462,[0 1 0 1 1]
463,[0 1 0 1 1]
464,[1 1 1 1 1]
465,[1 0 0 1 1]
466,[1 0 0 0 0]
467,[1 0 0 0 1]
468,[0 0 1 1 1]
469,[1 1 0 0 1]
470,[1 0 0 0 0]
471,[1 1 1 1 1]
472,[0 0 0 1 0]
473,[1 0 0 0 0]
474,[1 0 0 1 1]
475,[0 1 1 1 0]
476,[0 0 0 0 0]
477,[0 0 1 1 1]
478,[1 0 0 0 0]
479,[0 1 0 1 1]
480,[1 0 0 1 0]
481,[1 1 1 1 0]
482,[0 1 0 1 1]
483,[0 0 0 1 0]
484,[1 1 1 1 0]
485,[0 0 1 0 0]
486,[0 1 1 0 1]
487,[0 0 0 1 1]
488,[0 0 1 1 0]
489,[0 0 1 0 0]
490,[0 1 1 0 0]
491,[1 0 0 0 1]
492,[0 1 1 0 1]
493,[1 0 0 1 1]
494,[0 1 0 1 0]
495,[0 0 1 0 0]
496,[1 0 0 0 1]
497,[1 0 0 1 0]
498,[0 1 0 0 0]
499,[0 0 0 1 1]
500,[0 0 0 0 0]
501,[0 0 0 1 1]
502,[0 0 0 0 1]
503,[1 0 1 0 0]
504,[1 0 1 1 0]
505,[1 1 0 0 1]
506,[1 0 0 1 1]
507,[0 0 0 0 0]
508,[1 0 0 0 0]
509,[1 0 1 0 0]
510,[0 0 0 1 1]
511,[1 1 0 1 1]
512,[1 0 1 1 1]
513,[1 0 1 1 1]
514,[1 0 0 0 0]
515,[1 0 1 0 0]
516,[0 0 1 0 1]
517,[1 0 0 0 0]
518,[0 1 0 1 0]
519,[1 0 0 0 0]
520,[0 0 0 0 0]
521,[1 0 0 0 0]
522,[1 0 0 1 0]
523,[1 0 0 0 0]
524,[0 1 1 0 0]
525,[0 0 0 0 0]
526,[1 0 0 0 0]
527,[1 1 0 0 1]
528,[0 0 1 1 0]
529,[0 0 1 1 1]
530,[1 0 0 0 0]
531,[1 0 0 1 1]
