i,x
0,[1 1 0 0 0]
1,[0 1 1 0 0]
2,[1 1 1 1 0]
3,[0 0 1 0 0]
4,[1 1 1 1 1]
5,[0 1 1 1 0]
6,[0 1 1 1 0]
7,[0 1 1 1 0]
8,[0 1 1 1 0]
9,[0 1 1 1 1]
10,[1 1 1 1 0]
11,[0 1 1 1 0]
12,[1 1 1 1 1]
13,[0 1 1 1 1]
14,[0 1 1 1 1]
15,[0 1 1 1 1]
16,[0 1 1 1 1]
17,[0 1 1 1 1]
18,[0 1 1 1 1]
19,[0 1 1 1 0]
20,[0 1 0 0 1]
21,[0 1 0 1 0]
22,[0 1 0 1 1]
23,[0 1 1 1 0]
24,[0 1 1 1 1]
25,[0 1 1 1 1]
26,[0 1 1 1 0]
27,[0 1 1 1 0]
28,[0 1 1 1 1]
29,[0 1 1 1 1]
30,[0 1 1 1 1]
31,[0 1 1 1 1]
32,[1 0 1 1 0]
33,[1 0 1 1 1]
34,[1 0 1 0 1]
35,[1 1 1 1 0]
36,[0 1 1 1 1]
37,[1 1 0 1 1]
38,[1 1 0 1 1]
39,[0 1 1 0 1]
40,[0 1 0 0 1]
41,[0 1 0 0 1]
42,[1 1 1 1 1]
43,[0 1 1 1 1]
44,[0 1 1 1 1]
45,[0 1 1 1 1]
46,[0 1 1 1 1]
47,[0 1 1 1 1]
48,[1 0 1 1 1]
49,[0 1 1 1 1]
50,[0 1 1 0 1]
51,[0 0 1 1 1]
52,[0 0 1 1 1]
53,[0 1 1 1 1]
54,[0 1 1 1 1]
55,[1 1 1 1 1]
56,[1 1 1 0 1]
57,[0 1 0 0 1]
58,[1 1 1 1 1]
59,[1 1 1 1 1]
60,[1 1 1 1 1]
61,[0 1 1 1 1]
62,[0 1 0 1 0]
63,[1 1 1 1 0]
64,[0 1 1 1 1]
65,[0 1 1 1 1]
66,[1 1 1 1 1]
67,[1 1 1 1 1]
68,[1 1 1 1 1]
69,[0 1 1 1 0]
70,[0 1 1 1 0]
71,[0 1 1 1 1]
72,[0 0 1 1 1]
73,[1 0 1 0 0]
74,[0 1 1 0 1]
75,[0 1 1 1 0]
76,[1 0 1 1 0]
77,[1 0 1 1 0]
78,[1 0 1 1 0]
79,[1 0 1 1 0]
80,[1 1 1 1 0]
81,[1 1 1 0 1]
82,[0 0 1 0 0]
83,[1 0 1 0 0]
84,[1 0 1 0 0]
85,[1 1 1 1 0]
86,[1 1 1 1 0]
87,[1 1 1 1 0]
88,[1 1 1 1 0]
89,[1 1 1 1 0]
90,[1 1 1 1 0]
91,[1 1 1 1 0]
92,[1 1 1 1 0]
93,[1 1 1 1 0]
94,[1 1 1 0 0]
95,[0 1 1 1 0]
96,[1 1 1 1 1]
97,[1 1 1 1 1]
98,[1 1 0 1 0]
99,[1 1 0 1 0]
100,[1 0 0 1 0]
101,[1 1 1 1 1]
102,[1 1 1 1 1]
103,[1 1 1 1 1]
104,[1 1 1 1 1]
105,[1 1 1 1 1]
106,[1 1 1 1 1]
107,[1 1 1 1 1]
108,[1 1 1 1 1]
