i,x
0,[1 1 1 1 1]
1,[1 1 1 1 1]
2,[0 1 1 1 1]
3,[1 1 1 1 1]
4,[1 1 1 0 1]
5,[1 1 1 1 1]
6,[1 1 1 1 1]
7,[1 1 0 0 0]
8,[1 1 0 1 1]
9,[1 1 1 1 0]
10,[1 1 0 1 1]
11,[0 1 1 1 1]
12,[1 1 0 0 1]
13,[0 1 1 1 0]
14,[0 1 0 1 0]
15,[1 1 1 1 1]
16,[0 1 1 1 0]
17,[1 1 1 1 1]
18,[1 1 1 0 1]
19,[1 1 1 1 0]
20,[1 1 1 1 1]
21,[0 1 1 0 1]
22,[1 1 0 1 1]
23,[1 1 1 1 1]
24,[1 1 0 1 0]
25,[1 1 0 1 1]
26,[1 1 1 0 1]
27,[1 1 1 1 0]
28,[1 1 1 1 1]
29,[1 1 1 1 0]
30,[1 1 1 1 1]
31,[0 1 1 1 0]
32,[1 1 0 1 1]
33,[1 1 0 1 1]
34,[1 1 1 1 1]
35,[0 1 1 1 0]
36,[1 1 0 1 0]
37,[1 1 1 1 1]
38,[0 1 1 1 0]
39,[0 0 1 1 0]
40,[1 1 0 1 1]
41,[1 1 1 1 1]
42,[1 1 1 1 0]
43,[1 1 1 0 1]
44,[1 1 1 1 1]
45,[1 1 1 1 1]
46,[1 1 1 0 1]
47,[1 1 1 1 0]
48,[1 1 0 1 1]
49,[1 1 1 1 0]
50,[1 1 0 1 0]
51,[1 1 1 1 1]
52,[1 1 1 0 1]
53,[1 1 1 1 0]
54,[0 1 1 1 1]
55,[0 1 1 0 0]
56,[1 1 0 1 0]
57,[1 1 0 1 0]
58,[0 1 1 1 1]
59,[1 1 0 1 0]
60,[1 1 1 1 1]
61,[0 1 1 1 0]
62,[1 1 0 1 0]
63,[0 1 0 1 0]
64,[1 1 0 1 0]
65,[0 1 0 1 1]
66,[1 1 1 1 1]
67,[1 1 0 0 1]
68,[0 1 1 0 1]
69,[1 1 0 1 0]
70,[0 1 0 1 0]
71,[1 1 1 1 1]
72,[1 1 0 1 1]
73,[1 1 1 1 0]
74,[1 1 0 1 0]
75,[1 1 1 0 0]
76,[0 1 0 1 1]
77,[0 1 0 1 1]
78,[1 1 1 1 0]
