i,x
0,[0 1 1 0 1]
1,[0 1 1 0 1]
2,[0 1 0 0 0]
3,[0 1 0 0 0]
4,[0 1 0 0 0]
5,[0 1 1 0 1]
6,[0 1 1 1 1]
7,[0 1 1 1 1]
8,[0 1 1 1 1]
9,[0 1 1 1 1]
10,[0 1 0 1 1]
11,[0 1 1 1 1]
12,[0 1 1 1 1]
13,[1 1 0 1 1]
14,[0 1 1 1 1]
15,[1 1 0 1 0]
16,[1 1 1 1 1]
17,[0 1 1 1 1]
18,[0 1 1 1 1]
19,[0 1 1 0 0]
20,[1 1 1 1 1]
21,[1 1 1 1 1]
22,[1 1 1 1 1]
23,[0 0 1 1 1]
24,[1 1 1 1 1]
25,[1 1 1 0 1]
26,[1 1 1 0 1]
27,[1 1 1 1 1]
28,[1 1 1 1 1]
29,[1 1 1 1 1]
30,[1 1 1 1 1]
31,[1 1 1 1 1]
32,[1 1 1 1 1]
33,[1 1 1 1 1]
34,[1 1 1 0 1]
35,[1 1 1 1 1]
36,[1 1 1 1 1]
37,[1 1 1 1 1]
38,[1 1 1 1 1]
39,[1 1 1 1 0]
40,[1 1 1 1 1]
41,[1 1 1 1 1]
42,[1 1 1 1 0]
43,[1 1 1 1 1]
44,[1 1 1 1 0]
45,[1 1 1 1 1]
46,[1 1 1 1 1]
47,[1 1 1 1 1]
48,[1 1 1 1 1]
49,[1 1 1 1 1]
50,[1 1 1 1 1]
51,[1 1 1 1 1]
52,[1 1 1 1 1]
53,[1 1 1 1 1]
54,[1 1 1 1 1]
55,[1 1 1 1 1]
56,[1 1 1 1 1]
57,[1 1 1 1 0]
58,[1 1 1 1 1]
59,[1 1 1 1 1]
60,[1 1 1 1 1]
61,[1 1 1 1 1]
62,[1 1 1 1 1]
63,[1 1 1 1 1]
64,[1 1 1 1 1]
65,[1 1 1 1 0]
66,[1 1 1 1 0]
67,[1 1 1 1 0]
68,[1 1 0 1 0]
69,[0 1 1 1 0]
70,[1 1 1 1 1]
71,[1 1 1 0 1]
72,[1 1 1 0 0]
73,[1 0 1 0 0]
74,[1 0 1 0 0]
75,[1 0 1 0 0]
76,[1 1 1 1 0]
77,[1 1 1 0 1]
78,[1 0 1 1 0]
79,[1 0 1 1 0]
80,[0 1 1 0 0]
81,[1 0 1 0 0]
82,[1 1 1 1 0]
83,[1 0 1 1 0]
84,[1 0 1 0 0]
85,[1 1 1 0 0]
86,[1 1 1 1 0]
87,[0 1 1 1 1]
88,[1 1 1 0 0]
89,[1 1 1 1 0]
90,[1 1 1 0 0]
91,[0 1 1 0 1]
92,[0 1 1 0 0]
93,[0 0 1 0 0]
94,[1 1 1 0 1]
95,[0 0 1 0 0]
96,[0 0 1 0 1]
97,[0 0 1 0 1]
98,[0 0 1 0 1]
99,[0 0 1 1 1]
100,[1 1 1 1 1]
101,[0 0 1 1 1]
102,[1 0 1 1 1]
103,[0 0 1 0 0]
104,[0 0 1 1 1]
105,[0 0 1 0 1]
106,[1 0 1 0 0]
107,[1 0 1 1 1]
108,[1 0 1 0 1]
109,[0 0 0 0 0]
110,[0 0 1 1 0]
111,[1 0 1 0 0]
112,[1 0 1 0 1]
113,[0 0 1 1 0]
114,[0 1 0 1 0]
115,[0 0 1 1 0]
116,[0 1 1 1 1]
117,[0 1 1 1 1]
118,[0 1 1 1 1]
119,[0 1 1 1 1]
120,[0 1 1 1 1]
121,[1 1 1 1 1]
122,[0 1 0 1 1]
123,[0 1 1 1 1]
124,[0 1 0 1 1]
125,[0 1 0 1 1]
126,[0 1 0 1 1]
127,[0 1 0 1 1]
128,[1 1 1 1 1]
129,[0 1 1 0 1]
130,[0 1 1 1 1]
131,[0 1 1 1 1]
132,[1 1 1 0 1]
133,[0 1 1 0 1]
134,[1 0 1 1 1]
135,[1 1 1 1 1]
136,[1 1 1 1 1]
137,[0 1 1 1 1]
138,[1 1 1 1 1]
139,[1 1 1 1 1]
140,[1 1 1 1 1]
141,[1 1 1 1 1]
142,[0 1 1 1 1]
143,[0 1 1 1 1]
144,[0 1 1 1 0]
145,[1 1 0 1 0]
146,[1 1 1 1 1]
147,[0 1 1 1 0]
148,[0 1 1 1 0]
149,[1 1 1 1 1]
150,[0 1 1 1 0]
151,[0 1 1 1 1]
152,[0 1 1 1 1]
153,[0 1 1 1 0]
154,[0 1 1 1 1]
155,[1 1 1 1 1]
156,[0 1 1 1 1]
157,[0 1 0 1 0]
158,[0 1 0 1 0]
159,[0 0 0 1 1]
160,[1 1 1 1 1]
161,[0 1 1 1 1]
162,[1 1 0 1 1]
163,[0 1 1 1 1]
164,[1 1 0 1 1]
165,[0 1 0 0 1]
166,[0 1 0 1 0]
167,[0 1 1 1 1]
168,[0 1 1 1 1]
169,[0 1 1 1 1]
170,[0 1 1 1 1]
171,[0 1 1 1 1]
172,[0 1 1 1 1]
173,[0 1 1 1 1]
174,[1 1 1 1 1]
175,[0 1 1 1 1]
176,[0 1 1 1 1]
177,[0 1 1 1 1]
178,[0 1 1 1 1]
179,[0 1 1 0 1]
180,[0 1 0 1 1]
181,[0 1 0 1 1]
182,[1 1 0 1 1]
183,[0 1 1 1 1]
184,[0 1 1 1 1]
185,[0 1 1 1 1]
186,[0 1 1 1 1]
187,[0 1 1 1 1]
188,[0 1 1 1 1]
189,[0 1 1 1 1]
190,[0 1 1 1 1]
191,[0 1 1 0 1]
192,[0 1 1 0 1]
193,[0 1 1 1 1]
194,[1 1 1 1 1]
195,[0 0 1 1 1]
196,[0 1 1 1 1]
197,[0 1 1 0 1]
198,[0 1 1 0 1]
199,[1 1 1 1 1]
200,[0 1 1 1 1]
201,[1 1 1 1 1]
202,[0 1 1 1 1]
203,[1 1 1 0 0]
204,[0 1 1 1 1]
205,[1 1 1 0 1]
206,[0 1 1 1 1]
207,[0 0 1 1 0]
208,[0 1 1 0 0]
209,[0 1 1 1 1]
210,[0 1 1 1 1]
211,[1 1 1 1 1]
212,[1 1 1 1 1]
213,[0 1 1 1 1]
214,[0 1 1 1 1]
215,[0 1 1 1 1]
216,[0 0 1 1 1]
217,[1 0 1 1 1]
218,[1 0 1 1 1]
219,[0 1 1 0 0]
220,[1 1 1 0 0]
221,[0 1 1 1 1]
222,[0 1 1 1 1]
223,[0 1 1 1 1]
224,[0 0 1 1 1]
225,[0 1 1 1 1]
226,[0 1 1 1 1]
227,[0 1 1 1 1]
228,[0 1 1 1 1]
229,[0 0 1 1 1]
230,[0 1 1 1 1]
231,[0 1 1 1 1]
232,[0 1 1 1 1]
233,[0 1 1 1 1]
234,[0 0 1 1 1]
235,[0 1 1 1 1]
236,[0 1 1 1 1]
237,[0 1 0 0 1]
238,[0 1 0 0 1]
239,[0 1 1 1 0]
240,[0 1 1 1 1]
241,[0 1 1 1 1]
242,[0 1 1 1 1]
243,[0 1 1 1 1]
244,[0 1 1 1 1]
245,[0 1 1 1 1]
246,[0 1 1 0 1]
247,[1 1 1 1 1]
248,[0 1 1 1 1]
249,[0 1 1 1 1]
250,[1 1 0 1 0]
251,[0 0 1 1 1]
252,[0 1 1 1 1]
253,[1 0 0 0 1]
254,[1 1 1 0 1]
255,[0 1 0 1 1]
256,[0 1 1 1 1]
257,[0 1 1 1 1]
258,[0 0 1 0 0]
259,[0 0 1 0 0]
260,[0 0 1 0 0]
261,[0 0 1 0 0]
262,[0 1 1 0 0]
263,[0 0 1 0 0]
264,[0 0 1 0 0]
265,[0 0 1 0 0]
266,[0 0 1 0 0]
267,[0 0 1 0 0]
268,[0 0 1 0 0]
269,[0 0 1 1 0]
270,[1 0 1 0 1]
271,[0 0 1 1 0]
272,[0 0 1 1 0]
273,[1 0 1 0 1]
274,[0 0 0 1 0]
275,[0 0 0 1 0]
276,[0 1 1 0 1]
277,[1 0 1 1 1]
278,[0 0 1 0 0]
279,[1 1 0 1 1]
280,[1 0 0 1 1]
281,[0 0 0 1 1]
282,[0 1 0 1 0]
283,[0 0 0 0 1]
284,[0 1 1 1 1]
285,[0 1 1 1 1]
286,[0 1 1 1 1]
287,[0 1 1 1 1]
288,[1 1 1 1 1]
289,[0 1 1 1 1]
290,[0 1 1 1 1]
291,[0 1 1 1 1]
292,[0 1 1 1 1]
293,[0 1 1 1 1]
294,[0 1 1 1 1]
295,[0 1 1 1 1]
296,[0 1 1 1 1]
297,[0 1 1 1 1]
298,[0 1 1 1 1]
299,[0 1 1 1 1]
300,[0 1 1 1 1]
301,[0 1 1 1 1]
302,[0 1 1 1 1]
303,[0 1 1 1 1]
304,[0 1 1 1 1]
305,[0 1 1 1 1]
306,[0 1 1 1 1]
307,[0 1 1 1 1]
308,[0 1 0 1 1]
309,[0 1 1 1 1]
310,[0 1 1 1 1]
311,[0 1 1 1 0]
312,[0 1 1 1 1]
313,[0 1 1 1 1]
314,[0 1 1 1 1]
315,[0 1 1 1 1]
316,[0 1 1 1 1]
317,[0 1 1 1 1]
318,[0 1 1 1 1]
319,[0 1 1 1 1]
320,[0 1 1 1 1]
321,[0 1 1 1 1]
322,[0 1 1 1 1]
323,[0 1 1 1 1]
324,[0 1 1 1 1]
325,[0 1 1 1 1]
326,[0 1 1 1 1]
327,[0 1 1 1 1]
328,[0 1 1 1 1]
329,[0 1 1 1 1]
330,[0 1 0 1 1]
331,[1 1 1 1 0]
332,[0 1 1 0 0]
333,[0 1 1 1 1]
334,[0 1 1 1 0]
335,[0 1 0 1 1]
336,[0 1 1 1 1]
337,[0 1 1 1 1]
338,[1 1 1 1 1]
339,[0 0 1 0 0]
340,[1 0 1 0 0]
341,[0 1 0 1 0]
342,[0 1 1 0 1]
343,[0 1 0 1 0]
344,[0 1 0 1 0]
345,[1 1 1 1 1]
346,[1 1 1 0 1]
347,[0 1 1 0 0]
348,[1 1 0 0 0]
349,[1 1 0 0 1]
350,[0 1 1 0 0]
351,[0 1 1 1 1]
352,[1 1 1 0 0]
353,[1 0 1 1 1]
354,[0 1 1 1 0]
355,[0 0 1 1 0]
356,[0 1 1 1 0]
357,[0 1 1 1 1]
358,[1 1 1 1 0]
359,[0 1 1 1 0]
360,[0 1 1 1 0]
361,[0 1 1 1 0]
362,[0 1 1 1 0]
363,[0 1 1 1 1]
364,[0 0 1 1 0]
365,[0 1 1 1 1]
366,[0 1 1 1 0]
367,[0 1 1 1 1]
368,[0 1 1 1 1]
369,[0 1 1 1 1]
370,[0 1 1 1 1]
371,[1 1 1 1 1]
372,[0 0 1 1 1]
373,[0 0 1 1 1]
374,[0 1 1 1 1]
375,[0 1 1 1 1]
376,[0 1 1 1 1]
377,[0 1 1 1 1]
378,[0 1 1 1 1]
379,[0 1 1 1 1]
380,[1 1 1 0 1]
381,[0 1 1 1 1]
382,[0 1 0 1 1]
383,[0 1 1 1 1]
384,[1 1 0 1 1]
385,[0 1 1 1 1]
386,[0 1 1 1 1]
387,[0 1 1 0 1]
388,[0 1 1 1 1]
389,[0 1 0 1 0]
390,[0 1 1 0 1]
391,[1 1 1 0 1]
392,[0 1 1 0 1]
393,[1 1 1 0 1]
394,[0 1 1 1 1]
395,[0 1 0 1 1]
396,[0 1 1 0 1]
397,[0 1 1 1 0]
398,[0 1 1 0 0]
399,[0 1 1 0 1]
400,[1 1 1 0 1]
401,[0 1 0 0 0]
402,[0 1 0 0 0]
403,[0 0 1 0 0]
404,[0 1 1 0 1]
405,[1 1 1 0 1]
406,[0 1 1 0 1]
407,[0 1 1 1 1]
408,[0 1 1 0 1]
409,[0 1 1 1 1]
410,[0 1 0 0 1]
411,[0 0 1 1 1]
412,[0 1 1 1 1]
413,[0 1 1 1 1]
414,[0 1 1 1 1]
415,[1 1 0 0 0]
416,[0 1 0 1 0]
417,[0 1 1 1 0]
418,[0 1 1 1 1]
419,[0 1 1 1 1]
420,[0 1 1 0 1]
421,[0 0 0 0 0]
422,[0 0 0 0 0]
423,[0 0 0 0 0]
424,[0 0 0 0 0]
425,[1 1 0 1 1]
426,[1 1 1 1 1]
427,[0 1 1 1 1]
428,[0 1 1 1 1]
429,[0 1 1 0 1]
430,[0 1 1 1 1]
431,[0 1 1 1 1]
432,[1 1 1 1 1]
433,[0 1 1 0 1]
434,[0 1 1 1 1]
435,[0 0 1 0 1]
436,[1 1 1 1 0]
437,[0 1 1 1 1]
438,[0 1 0 1 1]
439,[0 1 1 0 0]
440,[0 1 1 1 1]
441,[0 1 1 1 1]
442,[1 1 1 1 1]
443,[0 1 1 1 1]
444,[0 1 1 0 1]
445,[0 1 1 0 1]
446,[0 1 1 0 1]
447,[0 1 1 1 1]
448,[1 1 1 1 1]
449,[0 0 1 0 1]
450,[1 0 1 0 0]
451,[0 1 1 1 1]
452,[0 0 1 0 0]
453,[0 0 1 0 0]
454,[0 0 1 0 0]
455,[0 1 1 0 1]
456,[1 1 1 0 1]
457,[1 1 1 1 0]
458,[1 0 1 1 1]
459,[1 0 1 1 1]
460,[0 1 1 0 1]
461,[1 1 1 1 1]
462,[0 1 1 0 1]
463,[1 1 1 1 1]
464,[1 1 0 0 1]
465,[1 1 0 0 1]
466,[1 1 1 1 1]
467,[1 1 1 1 1]
468,[0 1 1 1 1]
469,[0 0 1 1 1]
470,[1 1 1 1 1]
471,[1 0 1 1 1]
472,[1 0 1 1 1]
473,[1 1 0 1 0]
474,[1 0 1 1 1]
475,[1 0 1 1 1]
476,[1 1 1 1 1]
477,[1 1 0 1 1]
478,[0 1 0 1 1]
479,[1 1 0 1 1]
480,[1 0 1 1 1]
481,[0 1 1 1 1]
482,[1 0 0 1 1]
483,[1 1 1 1 1]
484,[1 0 0 1 1]
485,[0 1 1 1 1]
486,[0 1 0 1 1]
487,[1 1 1 1 1]
488,[1 1 1 1 1]
489,[1 1 1 1 1]
490,[1 1 1 1 1]
491,[1 1 1 1 0]
492,[0 1 1 1 1]
493,[1 1 1 1 0]
494,[1 1 0 0 1]
495,[1 1 0 1 0]
496,[0 1 1 1 1]
497,[1 1 1 0 1]
498,[0 1 1 0 1]
499,[0 1 1 1 1]
500,[0 1 1 0 1]
501,[0 1 1 1 1]
502,[0 1 1 1 1]
503,[0 1 1 0 1]
504,[0 0 1 1 1]
505,[0 1 1 1 0]
506,[0 1 1 0 1]
507,[0 1 1 1 1]
508,[0 1 1 0 0]
509,[0 1 1 1 1]
510,[0 1 1 1 1]
511,[1 0 1 0 1]
512,[0 0 1 0 1]
513,[0 0 1 1 1]
514,[0 0 1 1 1]
515,[1 0 1 0 1]
516,[0 0 1 0 1]
517,[0 1 1 1 1]
518,[1 0 0 0 1]
519,[1 0 0 0 1]
520,[1 0 1 1 1]
521,[0 1 0 1 0]
522,[0 1 1 1 0]
523,[0 1 1 1 0]
524,[0 1 0 1 1]
525,[1 1 1 1 0]
526,[0 1 1 1 1]
527,[1 1 0 1 1]
528,[0 1 1 0 1]
529,[0 1 0 0 0]
530,[1 1 1 0 0]
531,[1 1 1 0 0]
532,[0 1 1 0 1]
533,[1 1 1 1 0]
534,[0 1 1 1 1]
535,[1 1 1 1 0]
536,[0 1 1 1 0]
537,[0 1 1 1 0]
538,[1 0 0 1 1]
539,[0 1 1 0 1]
540,[0 1 1 0 0]
541,[0 1 1 0 0]
542,[0 1 1 1 0]
543,[0 1 1 1 1]
544,[0 1 1 1 1]
545,[0 1 1 1 1]
546,[0 1 1 1 1]
547,[0 1 1 1 1]
548,[0 1 0 1 1]
549,[1 1 0 1 1]
550,[0 1 1 1 1]
551,[0 1 1 1 1]
552,[0 1 1 1 1]
553,[0 1 1 1 1]
554,[0 1 0 1 0]
555,[0 1 0 1 0]
556,[0 1 1 1 1]
557,[0 1 1 1 1]
558,[0 1 1 1 1]
559,[0 1 1 1 1]
560,[0 1 1 1 1]
561,[0 0 1 1 1]
562,[0 0 1 1 1]
563,[0 1 1 1 1]
564,[1 0 1 1 1]
565,[1 1 1 1 1]
566,[1 1 1 1 1]
567,[0 1 1 1 1]
568,[1 1 1 0 0]
569,[0 1 1 1 1]
570,[0 1 0 1 1]
571,[0 1 1 1 1]
572,[0 1 1 1 1]
573,[1 1 0 1 1]
574,[1 1 1 1 1]
575,[0 1 1 1 1]
576,[0 1 1 1 1]
577,[0 1 1 1 1]
578,[1 1 1 1 0]
579,[1 1 0 0 1]
580,[0 1 1 1 1]
581,[0 1 1 0 1]
582,[0 0 1 1 1]
583,[0 0 1 1 1]
584,[0 0 1 1 1]
585,[0 0 1 1 1]
586,[0 1 1 1 1]
587,[0 1 0 0 1]
588,[0 0 0 1 1]
589,[0 1 1 1 1]
590,[0 1 1 1 1]
591,[0 1 1 1 1]
592,[0 1 1 1 1]
593,[0 1 1 1 1]
594,[0 1 1 0 1]
595,[0 1 1 1 0]
596,[1 1 1 1 1]
597,[0 1 0 1 1]
598,[1 1 1 1 1]
