i,x
0,[1 0 1 1 0]
1,[0 0 1 1 0]
2,[1 0 1 0 0]
3,[0 1 0 0 1]
4,[1 0 0 1 0]
5,[1 1 0 1 0]
6,[1 1 1 1 1]
7,[0 0 1 1 0]
8,[0 0 0 1 0]
9,[1 0 1 1 1]
10,[0 0 1 1 1]
11,[0 0 0 0 1]
12,[1 1 0 0 0]
13,[0 1 0 1 0]
14,[0 0 1 0 0]
15,[0 0 1 1 1]
16,[1 0 1 1 1]
17,[1 0 1 1 0]
18,[0 1 1 1 0]
19,[1 0 0 0 1]
20,[1 0 0 1 1]
21,[0 1 1 0 1]
22,[0 0 0 1 0]
23,[1 1 0 0 1]
24,[0 1 0 0 0]
25,[0 1 0 0 1]
26,[0 0 1 1 0]
27,[1 1 1 0 0]
28,[0 0 0 1 0]
29,[0 0 1 0 1]
30,[1 1 0 0 0]
31,[0 0 0 0 0]
32,[0 0 1 1 0]
33,[0 0 1 0 0]
34,[1 0 0 0 1]
35,[1 1 1 1 1]
36,[0 0 1 1 0]
37,[0 1 1 0 1]
38,[0 0 1 0 1]
39,[1 1 1 1 1]
40,[1 0 1 0 1]
41,[1 0 0 1 0]
42,[0 0 1 1 1]
43,[0 1 1 1 0]
44,[1 0 0 1 1]
45,[0 1 1 1 0]
46,[1 0 0 0 1]
47,[1 1 0 0 0]
48,[1 0 0 0 1]
49,[1 1 1 0 0]
50,[0 1 1 1 0]
51,[1 1 1 0 1]
52,[0 0 0 0 0]
53,[1 0 0 0 0]
54,[1 0 1 0 0]
55,[0 1 0 0 0]
56,[1 1 1 0 1]
57,[0 1 0 1 1]
58,[0 0 0 1 0]
59,[0 1 1 1 0]
60,[0 0 0 0 1]
61,[0 0 1 1 0]
62,[0 1 0 0 0]
63,[0 0 0 1 1]
64,[1 0 1 0 0]
65,[0 0 1 0 0]
66,[1 0 0 1 1]
67,[0 0 1 1 1]
68,[1 0 1 0 0]
69,[0 0 0 1 1]
70,[1 0 1 1 1]
71,[1 0 0 0 0]
72,[0 0 1 1 1]
73,[1 1 1 0 1]
74,[0 0 0 0 0]
75,[1 1 1 0 1]
76,[0 0 1 0 1]
77,[1 1 1 0 0]
78,[1 0 1 1 1]
79,[0 0 0 1 1]
80,[0 0 0 0 0]
81,[0 0 0 0 1]
82,[0 0 0 0 1]
83,[0 0 0 1 0]
84,[1 0 1 1 0]
85,[0 1 1 0 0]
86,[1 0 0 1 1]
87,[0 1 0 1 1]
88,[0 0 0 1 1]
89,[1 0 0 0 0]
90,[1 0 1 1 0]
91,[1 1 1 1 0]
92,[1 0 0 1 0]
93,[1 0 1 1 1]
94,[0 1 0 1 1]
95,[0 1 0 0 0]
96,[1 1 0 1 0]
97,[0 1 1 0 0]
98,[0 1 1 1 0]
99,[1 1 1 1 1]
