i,x
0,[0 0 0 0 0]
1,[0 0 0 0 1]
2,[1 1 1 0 1]
3,[1 1 0 0 0]
4,[1 1 0 0 0]
5,[1 0 0 1 1]
6,[0 0 1 0 0]
7,[1 0 0 1 1]
8,[0 0 1 0 0]
9,[1 0 0 0 1]
10,[0 0 0 0 0]
11,[0 1 1 0 0]
12,[1 1 0 1 1]
13,[0 1 1 1 0]
14,[0 1 0 1 0]
15,[0 0 0 0 0]
16,[0 1 0 1 0]
17,[0 0 0 0 0]
18,[0 0 1 0 0]
19,[0 0 1 0 0]
20,[1 0 1 0 0]
21,[0 0 1 1 0]
22,[0 1 0 0 0]
23,[0 0 0 0 0]
24,[1 0 1 1 1]
25,[0 0 0 0 0]
26,[0 0 1 0 0]
27,[0 0 0 0 1]
28,[0 0 0 0 0]
29,[0 0 0 0 0]
30,[0 0 1 0 1]
31,[1 1 1 0 1]
32,[1 1 1 0 1]
33,[0 0 0 0 1]
34,[0 0 0 0 0]
35,[0 0 0 0 0]
36,[1 0 1 0 0]
37,[0 0 0 1 1]
38,[0 0 0 0 0]
39,[0 0 1 1 1]
40,[1 0 1 1 1]
41,[1 0 1 0 1]
42,[0 0 0 0 0]
43,[0 0 0 0 0]
44,[0 1 1 1 0]
45,[1 1 0 0 0]
46,[0 1 0 0 0]
47,[0 0 0 1 0]
48,[0 0 0 0 0]
49,[0 1 0 0 1]
50,[1 1 1 1 0]
51,[1 0 1 1 0]
52,[1 0 0 0 1]
53,[1 1 1 1 0]
54,[0 0 0 0 0]
55,[0 0 0 0 1]
56,[1 0 1 0 0]
57,[0 1 0 0 0]
58,[0 0 0 0 0]
59,[0 0 1 0 1]
60,[0 0 1 0 0]
61,[1 0 1 0 0]
62,[0 1 1 0 0]
63,[0 0 0 0 0]
64,[1 0 0 0 0]
65,[1 0 0 0 0]
66,[1 0 1 0 0]
67,[0 0 0 0 0]
68,[0 0 0 0 0]
69,[1 1 0 1 0]
70,[0 0 0 0 0]
71,[0 0 0 1 0]
72,[1 0 0 0 1]
73,[0 0 0 0 0]
74,[0 0 0 0 1]
75,[0 0 0 0 0]
76,[0 0 0 0 0]
77,[1 1 1 0 0]
78,[0 0 0 0 0]
79,[0 1 0 0 0]
80,[1 1 1 1 0]
81,[0 1 0 0 0]
82,[0 1 0 1 1]
83,[0 1 1 1 0]
84,[0 0 0 0 0]
85,[0 0 0 0 0]
86,[1 0 0 1 1]
87,[1 0 1 1 1]
88,[0 0 1 0 1]
89,[0 0 0 1 1]
90,[0 0 0 0 0]
91,[1 1 0 0 1]
92,[0 1 1 0 0]
93,[0 0 0 0 0]
94,[0 0 1 1 0]
95,[1 0 0 0 0]
96,[0 1 0 0 0]
97,[0 0 1 1 0]
98,[0 0 1 0 1]
99,[1 0 1 0 1]
100,[0 0 0 0 0]
101,[0 1 1 0 0]
102,[1 0 1 1 1]
103,[0 1 1 0 0]
104,[0 1 0 0 0]
