i,x,probability
0,[0 0 0 0 0],0.059552373156363775
1,[1 0 0 0 0],0.04018070101955821
2,[0 1 0 0 0],0.04018070101955821
3,[0 0 1 0 0],0.04018070101955821
4,[0 0 0 1 0],0.04018070101955821
5,[0 0 0 0 1],0.04018070101955821
6,[1 1 0 0 0],0.0316499189470102
7,[1 0 1 0 0],0.0316499189470102
8,[1 0 0 1 0],0.0316499189470102
9,[1 0 0 0 1],0.0316499189470102
10,[0 1 1 0 0],0.0316499189470102
11,[0 1 0 1 0],0.0316499189470102
12,[0 1 0 0 1],0.0316499189470102
13,[0 0 1 1 0],0.0316499189470102
14,[0 0 1 0 1],0.0316499189470102
15,[0 0 0 1 1],0.0316499189470102
16,[1 1 1 0 0],0.02738475048030649
17,[1 1 0 1 0],0.02738475048030649
18,[1 1 0 0 1],0.02738475048030649
19,[1 0 1 1 0],0.02738475048030649
20,[1 0 1 0 1],0.02738475048030649
21,[1 0 0 1 1],0.02738475048030649
22,[0 1 1 1 0],0.02738475048030649
23,[0 1 1 0 1],0.02738475048030649
24,[0 1 0 1 1],0.02738475048030649
25,[0 0 1 1 1],0.02738475048030649
26,[1 1 1 1 0],0.0250830276891414
27,[1 1 1 0 1],0.0250830276891414
28,[1 1 0 1 1],0.0250830276891414
29,[1 0 1 1 1],0.0250830276891414
30,[0 1 1 1 1],0.0250830276891414
31,[1 1 1 1 1],0.02378228902697136
