i,x
0,[0. 0. 0. 0. 0. 0. 1. 1. 0. 0.]
1,[0. 0. 0. 0. 0. 0. 0. 1. 0. 1.]
2,[0. 0. 0. 0. 0. 0. 0. 1. 0. 1.]
3,[0. 0. 0. 0. 0. 0. 0. 1. 0. 1.]
4,[0. 0. 0. 0. 0. 0. 0. 1. 0. 1.]
5,[0. 0. 0. 0. 0. 0. 0. 1. 0. 1.]
6,[0. 0. 0. 0. 0. 0. 1. 1. 0. 1.]
7,[1. 0. 1. 0. 0. 0. 1. 1. 1. 0.]
8,[1. 0. 1. 0. 0. 0. 1. 1. 1. 0.]
9,[0. 0. 1. 0. 0. 0. 1. 0. 1. 0.]
10,[0. 0. 1. 0. 0. 0. 1. 0. 1. 0.]
11,[0. 0. 1. 0. 0. 0. 1. 0. 1. 0.]
12,[1. 0. 0. 0. 0. 0. 1. 0. 1. 0.]
13,[1. 0. 0. 0. 1. 0. 1. 0. 1. 0.]
14,[1. 0. 0. 0. 1. 0. 1. 0. 1. 0.]
15,[1. 0. 0. 0. 1. 0. 1. 0. 1. 0.]
16,[1. 0. 0. 0. 1. 1. 1. 0. 0. 0.]
17,[1. 0. 0. 0. 1. 1. 1. 0. 0. 1.]
18,[1. 0. 0. 0. 1. 1. 1. 0. 0. 1.]
19,[1. 0. 1. 0. 1. 1. 1. 0. 0. 0.]
20,[1. 0. 1. 0. 1. 0. 1. 0. 0. 0.]
21,[1. 0. 1. 0. 1. 0. 0. 1. 0. 1.]
22,[1. 0. 1. 0. 1. 0. 0. 1. 0. 1.]
23,[1. 0. 1. 0. 1. 0. 0. 1. 0. 1.]
24,[1. 1. 1. 0. 1. 1. 0. 1. 0. 0.]
25,[1. 1. 1. 0. 1. 1. 0. 1. 0. 0.]
26,[1. 1. 1. 0. 1. 1. 0. 1. 0. 0.]
27,[1. 1. 1. 0. 1. 1. 0. 1. 0. 0.]
28,[1. 1. 1. 0. 1. 1. 0. 1. 0. 0.]
29,[1. 1. 1. 0. 1. 1. 0. 1. 0. 0.]
30,[1. 1. 1. 0. 1. 1. 1. 1. 0. 0.]
31,[1. 1. 1. 1. 1. 1. 0. 1. 0. 0.]
32,[1. 1. 1. 1. 0. 1. 0. 1. 0. 0.]
33,[1. 1. 1. 0. 0. 1. 0. 1. 0. 0.]
34,[1. 1. 0. 0. 0. 1. 0. 1. 0. 0.]
35,[1. 1. 0. 0. 0. 1. 0. 1. 0. 0.]
36,[1. 1. 0. 0. 0. 0. 0. 1. 0. 0.]
37,[0. 1. 0. 0. 0. 1. 0. 0. 1. 0.]
38,[0. 1. 0. 0. 0. 0. 0. 1. 0. 0.]
39,[0. 1. 0. 0. 0. 0. 0. 1. 0. 0.]
40,[0. 1. 0. 0. 0. 0. 0. 1. 0. 0.]
41,[0. 1. 0. 0. 0. 0. 0. 1. 0. 0.]
42,[0. 1. 0. 0. 0. 0. 0. 1. 0. 0.]
43,[0. 1. 0. 0. 0. 0. 0. 1. 0. 0.]
44,[0. 1. 0. 0. 0. 0. 1. 1. 0. 0.]
45,[0. 1. 0. 0. 0. 0. 1. 1. 0. 0.]
46,[0. 1. 0. 0. 0. 0. 1. 1. 0. 0.]
47,[0. 1. 0. 0. 0. 0. 1. 1. 1. 0.]
48,[0. 1. 0. 0. 0. 0. 1. 1. 1. 0.]
49,[0. 1. 0. 0. 0. 0. 1. 1. 1. 0.]
50,[0. 1. 0. 0. 0. 0. 1. 1. 1. 0.]
51,[0. 1. 0. 0. 0. 0. 1. 1. 1. 0.]
52,[0. 1. 0. 0. 1. 0. 1. 1. 1. 0.]
53,[0. 1. 0. 1. 1. 0. 1. 1. 1. 0.]
54,[0. 1. 0. 1. 1. 0. 1. 1. 1. 0.]
