i,x,probability
0,[0 0 0 0 0 0 0 0 0 0],0.005584075487929618
1,[1 0 0 0 0 0 0 0 0 0],0.0043133828749581035
2,[0 1 0 0 0 0 0 0 0 0],0.002685255709750009
3,[0 0 1 0 0 0 0 0 0 0],0.0041499965875910075
4,[0 0 0 1 0 0 0 0 0 0],0.0038001861291105934
5,[0 0 0 0 1 0 0 0 0 0],0.003077708270351984
6,[0 0 0 0 0 1 0 0 0 0],0.003152065823391728
7,[0 0 0 0 0 0 1 0 0 0],0.003406702964635192
8,[0 0 0 0 0 0 0 1 0 0],0.004024169603693438
9,[0 0 0 0 0 0 0 0 1 0],0.0055022465611587945
10,[0 0 0 0 0 0 0 0 0 1],0.004159468379977434
11,[1 1 0 0 0 0 0 0 0 0],0.002074208348070445
12,[1 0 1 0 0 0 0 0 0 0],0.003205637934290626
13,[1 0 0 1 0 0 0 0 0 0],0.0029354291155967915
14,[1 0 0 0 1 0 0 0 0 0],0.0023773557818386895
15,[1 0 0 0 0 1 0 0 0 0],0.0024347927911697246
16,[1 0 0 0 0 0 1 0 0 0],0.0026314855985542242
17,[1 0 0 0 0 0 0 1 0 0],0.003108443697084382
18,[1 0 0 0 0 0 0 0 1 0],0.00425017465147108
19,[1 0 0 0 0 0 0 0 0 1],0.0032129543588559975
20,[0 1 1 0 0 0 0 0 0 0],0.0019956395747800933
21,[0 1 0 1 0 0 0 0 0 0],0.0018274236305301941
22,[0 1 0 0 1 0 0 0 0 0],0.0014800003552551645
23,[0 1 0 0 0 1 0 0 0 0],0.0015157572221339542
24,[0 1 0 0 0 0 1 0 0 0],0.0016382064689101556
25,[0 1 0 0 0 0 0 1 0 0],0.0019351322217398422
26,[0 1 0 0 0 0 0 0 1 0],0.002645906028086673
27,[0 1 0 0 0 0 0 0 0 1],0.0020001943456892973
28,[0 0 1 1 0 0 0 0 0 0],0.0028242382292483826
29,[0 0 1 0 1 0 0 0 0 0],0.002287304110979515
30,[0 0 1 0 0 1 0 0 0 0],0.002342565468395542
31,[0 0 1 0 0 0 1 0 0 0],0.0025318077645497634
32,[0 0 1 0 0 0 0 1 0 0],0.002990699205144004
33,[0 0 1 0 0 0 0 0 1 0],0.004089182623381677
34,[0 0 1 0 0 0 0 0 0 1],0.003091251115858235
35,[0 0 0 1 1 0 0 0 0 0],0.002094503253711742
36,[0 0 0 1 0 1 0 0 0 0],0.002145106534821935
37,[0 0 0 1 0 0 1 0 0 0],0.002318397267406312
38,[0 0 0 1 0 0 0 1 0 0],0.002738607947224267
39,[0 0 0 1 0 0 0 0 1 0],0.0037444982801288487
40,[0 0 0 1 0 0 0 0 0 1],0.0028306841618154694
41,[0 0 0 0 1 1 0 0 0 0],0.0017372865166877262
42,[0 0 0 0 1 0 1 0 0 0],0.0018776318320828738
43,[0 0 0 0 1 0 0 1 0 0],0.0022179535533425197
44,[0 0 0 0 1 0 0 0 1 0],0.0030326075969780357
45,[0 0 0 0 1 0 0 0 0 1],0.0022925245657935264
46,[0 0 0 0 0 1 1 0 0 0],0.001922995491104151
47,[0 0 0 0 0 1 0 1 0 0],0.002271539398554384
48,[0 0 0 0 0 1 0 0 1 0],0.0031058755159725916
49,[0 0 0 0 0 1 0 0 0 1],0.002347912049603489
50,[0 0 0 0 0 0 1 1 0 0],0.00245504390990605
51,[0 0 0 0 0 0 1 0 1 0],0.003356781209811918
52,[0 0 0 0 0 0 1 0 0 1],0.0025375862650863345
53,[0 0 0 0 0 0 0 1 1 0],0.003965199505505154
54,[0 0 0 0 0 0 0 1 0 1],0.002997525061831713
55,[0 0 0 0 0 0 0 0 1 1],0.004098515616318267
56,[1 1 1 0 0 0 0 0 0 0],0.0015415188396095021
57,[1 1 0 1 0 0 0 0 0 0],0.001411581525045826
58,[1 1 0 0 1 0 0 0 0 0],0.0011432166705282905
59,[1 1 0 0 0 1 0 0 0 0],0.0011708368303184854
60,[1 1 0 0 0 0 1 0 0 0],0.0012654219564038449
61,[1 1 0 0 0 0 0 1 0 0],0.0014947803273925708
62,[1 1 0 0 0 0 0 0 1 0],0.002043812941814106
63,[1 1 0 0 0 0 0 0 0 1],0.0015450371428418965
64,[1 0 1 1 0 0 0 0 0 0],0.002181564493383782
65,[1 0 1 0 1 0 0 0 0 0],0.0017668132179528054
66,[1 0 1 0 0 1 0 0 0 0],0.0018094994948916598
67,[1 0 1 0 0 0 1 0 0 0],0.0019556784785414692
68,[1 0 1 0 0 0 0 1 0 0],0.002310146194030383
69,[1 0 1 0 0 0 0 0 1 0],0.0031586625822657742
70,[1 0 1 0 0 0 0 0 0 1],0.002387816864968947
71,[1 0 0 1 1 0 0 0 0 0],0.0016178854468627353
72,[1 0 0 1 0 1 0 0 0 0],0.0016569736229859284
73,[1 0 0 1 0 0 1 0 0 0],0.0017908309248677
74,[1 0 0 1 0 0 0 1 0 0],0.0021154199376987736
75,[1 0 0 1 0 0 0 0 1 0],0.002892413398015551
76,[1 0 0 1 0 0 0 0 0 1],0.0021865436121668485
77,[1 0 0 0 1 1 0 0 0 0],0.0013419556963680688
78,[1 0 0 0 1 0 1 0 0 0],0.0014503645245285332
79,[1 0 0 0 1 0 0 1 0 0],0.0017132438297296677
80,[1 0 0 0 1 0 0 0 1 0],0.0023425180593543184
81,[1 0 0 0 1 0 0 0 0 1],0.0017708457243977712
82,[1 0 0 0 0 1 1 0 0 0],0.00148540538856964
83,[1 0 0 0 0 1 0 1 0 0],0.0017546358681390028
84,[1 0 0 0 0 1 0 0 1 0],0.0023991133879379062
85,[1 0 0 0 0 1 0 0 0 1],0.001813629426851172
86,[1 0 0 0 0 0 1 1 0 0],0.0018963827371512095
87,[1 0 0 0 0 0 1 0 1 0],0.0025929238629888614
88,[1 0 0 0 0 0 1 0 0 1],0.001960142043783605
89,[1 0 0 0 0 0 0 1 1 0],0.003062892627402433
90,[1 0 0 0 0 0 0 1 0 1],0.002315418782735053
91,[1 0 0 0 0 0 0 0 1 1],0.003165871792096804
92,[0 1 1 1 0 0 0 0 0 0],0.001358112340561371
93,[0 1 1 0 1 0 0 0 0 0],0.0010999128570555285
94,[0 1 1 0 0 1 0 0 0 0],0.0011264867950065251
95,[0 1 1 0 0 0 1 0 0 0],0.0012174891386125095
96,[0 1 1 0 0 0 0 1 0 0],0.001438159662081375
97,[0 1 1 0 0 0 0 0 1 0],0.0019663955137034436
98,[0 1 1 0 0 0 0 0 0 1],0.001486512803609512
99,[0 1 0 1 1 0 0 0 0 0],0.0010071992818286048
100,[0 1 0 1 0 1 0 0 0 0],0.0010315332561502183
101,[0 1 0 1 0 0 1 0 0 0],0.0011148648533187747
102,[0 1 0 1 0 0 0 1 0 0],0.0013169346730621063
103,[0 1 0 1 0 0 0 0 1 0],0.0018006446024233643
104,[0 1 0 1 0 0 0 0 0 1],0.0013612120438637081
105,[0 1 0 0 1 1 0 0 0 0],0.0008354218255987549
106,[0 1 0 0 1 0 1 0 0 0],0.0009029107161619474
107,[0 1 0 0 1 0 0 1 0 0],0.0010665637411147383
108,[0 1 0 0 1 0 0 0 1 0],0.0014583124606425738
109,[0 1 0 0 1 0 0 0 0 1],0.0011024232558005163
110,[0 1 0 0 0 1 1 0 0 0],0.0009247250746292257
111,[0 1 0 0 0 1 0 1 0 0],0.0010923319631110154
112,[0 1 0 0 0 1 0 0 1 0],0.0014935453471332577
113,[0 1 0 0 0 1 0 0 0 1],0.0011290578450840743
114,[0 1 0 0 0 0 1 1 0 0],0.0011805751356714642
115,[0 1 0 0 0 0 1 0 1 0],0.0016142002251783685
116,[0 1 0 0 0 0 1 0 0 1],0.0012202678889344132
117,[0 1 0 0 0 0 0 1 1 0],0.0019067748341638875
118,[0 1 0 0 0 0 0 1 0 1],0.0014414420623075589
119,[0 1 0 0 0 0 0 0 1 1],0.001970883539093897
120,[0 0 1 1 1 0 0 0 0 0],0.0015566016925076974
121,[0 0 1 1 0 1 0 0 0 0],0.0015942092507117633
122,[0 0 1 1 0 0 1 0 0 0],0.0017229961824860235
123,[0 0 1 1 0 0 0 1 0 0],0.0020352901138777674
124,[0 0 1 1 0 0 0 0 1 0],0.002782851900617247
125,[0 0 1 1 0 0 0 0 0 1],0.002103719700329054
126,[0 0 1 0 1 1 0 0 0 0],0.0012911238631186646
127,[0 0 1 0 1 0 1 0 0 0],0.0013954262818866802
128,[0 0 1 0 1 0 0 1 0 0],0.0016483480027630352
129,[0 0 1 0 1 0 0 0 1 0],0.0022537860038184423
130,[0 0 1 0 1 0 0 0 0 1],0.0017037679998375417
131,[0 0 1 0 0 1 1 0 0 0],0.0014291398358215939
132,[0 0 1 0 0 1 0 1 0 0],0.0016881721554366706
133,[0 0 1 0 0 1 0 0 1 0],0.002308237562445211
134,[0 0 1 0 0 1 0 0 0 1],0.0017449311018234393
135,[0 0 1 0 0 0 1 1 0 0],0.001824549806054593
136,[0 0 1 0 0 0 1 0 1 0],0.0024947067059034457
137,[0 0 1 0 0 0 1 0 0 1],0.0018858939789745963
138,[0 0 1 0 0 0 0 1 1 0],0.002946873560813035
139,[0 0 1 0 0 0 0 1 0 1],0.0022277132185461106
140,[0 0 1 0 0 0 0 0 1 1],0.0030459519859061842
141,[0 0 0 1 1 1 0 0 0 0],0.0011822927783262031
142,[0 0 0 1 1 0 1 0 0 0],0.0012778033640987523
143,[0 0 0 1 1 0 0 1 0 0],0.001509405871507809
144,[0 0 0 1 1 0 0 0 1 0],0.002063810446327654
145,[0 0 0 1 1 0 0 0 0 1],0.0015601544202626751
146,[0 0 0 1 0 1 1 0 0 0],0.0013086751437068535
147,[0 0 0 1 0 1 0 1 0 0],0.0015458731768175178
148,[0 0 0 1 0 1 0 0 1 0],0.002113672188002487
149,[0 0 0 1 0 1 0 0 0 1],0.001597847812509239
150,[0 0 0 1 0 0 1 1 0 0],0.0016707553171423028
151,[0 0 0 1 0 0 1 0 1 0],0.0022844235217736927
152,[0 0 0 1 0 0 1 0 0 1],0.001726928682616726
153,[0 0 0 1 0 0 0 1 1 0],0.0026984764429758357
154,[0 0 0 1 0 0 0 1 0 1],0.0020399353816503824
155,[0 0 0 1 0 0 0 0 1 1],0.002789203374621741
