i,x
0,[0 0 0]
1,[0 0 0]
2,[0 0 0]
3,[0 0 0]
4,[0 0 0]
5,[0 0 0]
6,[1 1 1]
7,[1 1 1]
8,[1 1 1]
9,[1 1 1]
10,[1 1 1]
11,[1 1 1]
12,[1 1 1]
13,[1 1 1]
14,[1 1 1]
15,[1 1 1]
16,[1 1 1]
17,[1 1 1]
18,[1 1 1]
19,[1 1 1]
20,[1 1 1]
21,[1 1 1]
22,[1 1 1]
23,[1 1 1]
24,[1 1 1]
25,[1 1 1]
26,[1 1 1]
27,[1 1 1]
28,[1 1 1]
29,[1 1 1]
30,[1 1 1]
31,[1 1 1]
32,[0 1 1]
33,[1 1 1]
34,[1 1 1]
35,[1 1 1]
36,[1 1 1]
37,[1 1 1]
38,[0 1 1]
39,[0 1 1]
40,[1 1 1]
41,[1 1 1]
42,[1 1 1]
43,[0 1 1]
44,[1 1 1]
45,[1 1 1]
46,[0 1 1]
47,[0 1 1]
48,[0 1 1]
49,[1 1 1]
50,[1 1 1]
51,[1 1 1]
52,[1 1 1]
53,[1 1 1]
54,[1 1 1]
55,[0 0 1]
56,[1 1 1]
57,[1 1 1]
58,[0 1 1]
59,[1 1 0]
60,[1 1 1]
61,[1 0 1]
62,[1 1 1]
63,[0 1 1]
64,[1 1 1]
65,[1 1 1]
66,[1 1 1]
67,[1 1 1]
68,[1 1 0]
69,[1 1 0]
70,[1 1 1]
71,[1 1 1]
72,[1 1 1]
73,[1 1 1]
74,[1 1 1]
75,[1 1 1]
76,[1 1 1]
77,[1 1 1]
78,[1 1 1]
79,[1 1 1]
80,[1 1 1]
81,[1 1 1]
82,[1 1 1]
83,[1 1 1]
84,[1 1 1]
85,[1 1 1]
86,[1 1 1]
87,[1 1 1]
88,[1 1 1]
89,[1 1 1]
90,[1 1 1]
91,[1 1 1]
92,[1 1 1]
93,[1 1 1]
94,[1 1 1]
95,[1 1 1]
96,[1 1 1]
97,[1 1 1]
98,[1 1 1]
99,[1 1 1]
100,[1 1 1]
101,[1 1 1]
102,[1 1 1]
103,[1 1 1]
104,[1 0 1]
105,[1 0 1]
106,[1 1 1]
107,[1 1 1]
108,[1 1 1]
109,[1 1 1]
110,[0 1 1]
111,[0 1 1]
112,[0 1 1]
113,[1 1 1]
114,[1 1 1]
115,[1 1 1]
116,[1 1 1]
117,[1 1 1]
118,[1 1 1]
119,[0 1 1]
120,[0 1 1]
121,[1 1 1]
122,[1 1 1]
123,[0 1 1]
124,[0 1 1]
125,[0 1 1]
126,[1 1 1]
127,[1 1 1]
128,[1 1 1]
129,[1 1 1]
130,[0 1 1]
131,[1 1 1]
132,[1 1 1]
133,[1 1 1]
134,[0 1 1]
135,[0 0 1]
136,[0 1 1]
137,[1 1 0]
138,[1 1 0]
139,[1 1 0]
140,[1 1 0]
141,[1 1 1]
142,[1 1 1]
143,[1 1 1]
144,[1 1 1]
145,[1 1 1]
146,[1 1 1]
147,[1 1 1]
148,[1 1 1]
149,[1 1 1]
150,[1 1 1]
151,[0 1 1]
152,[1 1 1]
153,[0 1 1]
154,[1 1 1]
155,[1 1 1]
156,[1 1 1]
157,[1 1 1]
158,[1 1 1]
159,[1 1 1]
160,[1 1 1]
161,[1 1 1]
162,[1 1 1]
163,[1 1 1]
164,[1 1 1]
165,[1 1 1]
166,[1 1 1]
167,[1 1 1]
168,[0 1 1]
169,[0 1 1]
170,[1 1 1]
171,[1 1 1]
172,[1 1 1]
173,[1 1 1]
174,[1 1 1]
175,[1 1 1]
176,[1 1 1]
177,[0 1 1]
178,[1 1 1]
179,[1 1 1]
180,[1 1 1]
181,[1 1 1]
182,[1 1 1]
183,[1 1 1]
184,[1 1 1]
185,[1 1 1]
186,[1 1 1]
187,[0 1 1]
