i,x
0,[0 0 1]
1,[0 1 0]
2,[0 0 0]
3,[0 0 0]
4,[1 0 0]
5,[0 0 0]
6,[1 0 0]
7,[0 0 1]
8,[0 0 0]
9,[0 1 1]
10,[1 0 1]
11,[0 0 0]
12,[1 1 1]
13,[0 0 0]
14,[1 0 0]
15,[0 0 1]
16,[0 0 0]
17,[0 1 0]
18,[1 0 1]
19,[1 0 0]
20,[0 0 1]
21,[1 1 0]
22,[1 0 1]
23,[0 0 0]
24,[1 0 1]
25,[0 0 0]
26,[0 1 0]
27,[0 1 1]
28,[0 0 0]
29,[0 0 0]
30,[1 1 1]
31,[0 0 0]
32,[0 0 0]
33,[0 0 1]
34,[1 0 0]
35,[1 1 0]
36,[0 0 0]
37,[0 1 1]
38,[1 1 0]
39,[0 0 0]
40,[0 0 1]
41,[0 1 0]
42,[0 0 0]
43,[0 1 1]
44,[0 0 0]
45,[1 0 0]
46,[0 1 0]
47,[1 0 0]
48,[0 0 0]
49,[0 1 0]
50,[1 0 0]
51,[0 0 0]
52,[1 1 0]
53,[1 0 0]
54,[0 1 1]
55,[0 0 0]
56,[1 1 0]
57,[0 0 0]
58,[0 1 0]
59,[1 1 0]
60,[1 0 0]
61,[0 1 0]
62,[0 1 0]
63,[1 0 0]
64,[0 0 0]
65,[0 0 1]
66,[0 0 0]
67,[1 1 0]
68,[0 0 0]
69,[1 0 1]
70,[1 0 0]
71,[1 0 0]
72,[0 1 0]
73,[1 1 0]
74,[1 0 0]
75,[0 0 0]
76,[1 0 1]
77,[0 0 1]
78,[1 0 1]
79,[1 0 1]
80,[0 0 0]
81,[0 0 1]
82,[0 0 1]
83,[0 1 0]
84,[0 0 1]
85,[0 0 0]
86,[0 1 0]
87,[1 0 1]
88,[0 0 0]
89,[1 1 1]
90,[1 0 0]
91,[1 0 0]
92,[1 1 1]
93,[0 0 0]
94,[0 0 0]
95,[0 0 0]
96,[0 0 1]
97,[0 0 0]
98,[1 0 1]
99,[1 0 0]
100,[0 0 1]
101,[1 0 0]
102,[1 0 1]
103,[1 1 0]
104,[0 0 0]
105,[0 0 0]
106,[0 1 1]
107,[1 0 1]
108,[0 1 1]
109,[1 1 0]
110,[1 0 0]
111,[0 0 0]
112,[0 0 0]
113,[1 0 0]
114,[1 0 0]
115,[0 1 1]
116,[1 0 0]
117,[1 1 1]
118,[1 0 0]
119,[0 0 0]
120,[0 0 0]
121,[0 0 1]
122,[0 0 0]
123,[1 0 1]
124,[0 0 1]
125,[1 1 1]
126,[0 0 0]
127,[1 1 1]
128,[1 0 0]
129,[1 1 0]
