i,x
0,[1 0 1 0 1]
1,[1 0 1 0 1]
2,[0 0 0 0 0]
3,[0 1 1 1 0]
4,[1 0 1 0 0]
5,[0 1 0 1 0]
6,[0 1 0 0 1]
7,[0 0 0 1 1]
8,[0 1 1 0 0]
9,[0 0 1 0 1]
10,[0 0 0 0 0]
11,[1 1 1 0 0]
12,[1 0 0 1 1]
13,[1 0 1 0 1]
14,[1 0 0 1 0]
15,[1 0 0 0 0]
16,[0 0 1 0 1]
17,[1 1 1 0 1]
18,[0 1 1 0 1]
19,[0 0 0 0 0]
20,[0 0 1 0 0]
21,[0 1 0 1 1]
22,[1 1 0 0 0]
23,[1 0 0 0 0]
24,[0 0 0 0 0]
25,[1 1 0 1 0]
26,[0 0 1 1 1]
27,[0 0 0 0 0]
28,[1 1 1 0 0]
29,[0 0 0 0 0]
30,[0 1 0 0 1]
31,[1 1 0 1 1]
32,[0 0 0 1 0]
33,[0 0 0 0 1]
34,[1 1 1 0 1]
35,[0 1 0 1 1]
36,[1 0 0 1 1]
37,[0 0 0 0 0]
38,[0 0 1 0 1]
39,[0 0 0 0 0]
40,[0 0 0 0 0]
41,[0 0 0 1 1]
42,[0 0 0 0 0]
43,[0 1 0 1 0]
44,[1 0 0 1 1]
45,[1 1 0 0 1]
46,[0 1 1 1 0]
47,[1 1 0 0 0]
48,[0 0 1 0 1]
49,[0 1 1 0 0]
50,[1 1 0 1 0]
51,[0 0 0 0 0]
52,[0 1 0 0 0]
53,[0 0 0 0 0]
54,[1 1 0 0 1]
55,[0 0 0 0 0]
56,[0 1 0 0 0]
57,[1 0 0 1 0]
58,[0 1 0 0 1]
59,[0 0 1 1 0]
60,[1 0 0 0 0]
61,[0 0 0 0 0]
62,[1 0 1 0 1]
63,[1 0 0 1 0]
64,[1 0 0 1 1]
65,[0 1 1 0 1]
66,[0 1 0 0 0]
67,[1 0 1 0 0]
68,[0 0 0 0 0]
69,[0 0 0 0 0]
70,[0 0 0 0 0]
71,[0 1 0 0 1]
72,[0 0 0 0 0]
73,[0 1 0 1 0]
74,[0 1 0 1 0]
75,[1 0 1 1 1]
76,[0 0 1 1 1]
77,[0 1 1 0 0]
78,[0 0 0 1 0]
79,[1 0 1 0 1]
80,[0 0 0 1 1]
81,[1 0 0 1 0]
82,[0 1 0 0 1]
83,[0 1 1 1 1]
84,[0 0 1 1 1]
85,[0 1 0 0 0]
86,[0 0 0 0 0]
87,[0 1 0 0 0]
88,[1 0 0 0 1]
89,[0 0 1 1 1]
90,[0 0 1 0 0]
