i,x
0,[0 0 0 0 0]
1,[1 0 0 0 1]
2,[0 0 0 0 1]
3,[0 0 0 0 0]
4,[0 0 0 1 1]
5,[1 1 1 0 0]
6,[1 1 0 1 1]
7,[0 0 0 0 0]
8,[0 0 0 1 0]
9,[0 0 1 0 1]
10,[1 1 0 0 0]
11,[0 1 1 0 1]
12,[0 0 0 1 1]
13,[1 0 1 0 1]
14,[0 0 0 0 1]
15,[0 1 1 1 0]
16,[0 0 0 0 0]
17,[1 0 0 1 0]
18,[1 1 1 0 0]
19,[1 0 1 0 0]
20,[0 0 0 0 0]
21,[0 1 1 1 0]
22,[0 0 1 0 0]
23,[0 0 0 0 0]
24,[1 1 1 0 1]
25,[1 1 0 0 1]
26,[0 0 0 0 0]
27,[0 0 0 1 0]
28,[1 0 0 0 0]
29,[1 1 1 0 0]
30,[0 0 0 0 0]
31,[0 0 1 1 0]
32,[1 1 1 1 0]
33,[0 0 1 0 0]
34,[1 0 1 1 1]
35,[0 0 0 0 0]
36,[1 0 0 0 0]
37,[0 0 0 0 0]
38,[1 0 0 1 1]
39,[1 0 1 1 1]
40,[0 0 0 0 0]
41,[1 1 0 0 0]
42,[1 0 0 0 1]
43,[1 0 0 0 0]
44,[0 0 0 0 1]
45,[0 0 0 0 0]
46,[1 1 0 1 1]
47,[0 0 0 0 0]
48,[0 0 0 0 0]
49,[0 1 1 1 0]
50,[1 1 1 1 1]
51,[0 0 1 1 0]
52,[0 0 0 0 1]
53,[0 0 0 0 1]
54,[1 1 0 0 1]
55,[0 0 0 1 0]
56,[0 1 1 1 0]
57,[0 0 0 0 0]
58,[1 0 0 0 1]
59,[1 1 1 0 1]
60,[1 1 1 1 0]
61,[0 0 0 0 0]
62,[1 1 0 0 1]
63,[1 0 0 0 0]
64,[1 0 1 1 0]
65,[0 0 0 0 0]
66,[1 0 0 0 0]
67,[0 0 0 1 1]
68,[0 0 1 0 0]
69,[0 0 0 0 0]
70,[0 0 1 0 1]
71,[1 1 0 1 0]
72,[0 0 0 0 0]
73,[0 1 1 0 0]
74,[0 0 0 1 0]
75,[0 0 0 0 0]
76,[0 1 0 1 0]
77,[1 1 1 1 0]
78,[0 1 1 0 1]
79,[0 0 1 0 0]
80,[1 1 1 1 1]
81,[0 0 0 0 1]
82,[0 0 0 0 0]
83,[1 1 0 1 1]
84,[1 1 0 1 0]
85,[1 0 1 0 1]
86,[1 1 1 0 1]
87,[1 1 0 1 1]
88,[0 1 0 1 1]
89,[0 0 0 0 0]
90,[0 0 0 0 0]
91,[0 0 0 0 0]
92,[0 1 1 0 0]
93,[1 1 0 1 0]
94,[0 0 1 0 1]
95,[0 0 0 0 0]
96,[1 1 1 0 0]
97,[0 1 0 1 1]
98,[0 1 0 0 0]
99,[0 0 0 0 0]
100,[1 0 1 1 1]
101,[0 0 0 0 0]
102,[0 1 0 0 1]
103,[0 0 1 1 1]
104,[1 1 0 0 0]
105,[0 0 0 0 0]
106,[1 0 1 0 0]
107,[0 0 0 0 0]
108,[0 0 0 0 0]
109,[0 0 0 0 1]
110,[0 0 0 1 0]
111,[0 1 0 1 0]
112,[1 1 1 0 1]
113,[1 1 0 0 0]
114,[0 0 0 0 0]
115,[0 0 0 0 0]
116,[0 1 0 1 1]
117,[0 1 1 1 0]
118,[0 1 1 0 1]
119,[0 0 0 0 0]
120,[0 0 0 0 0]
121,[0 0 0 0 0]
122,[1 1 0 0 1]
123,[0 0 1 0 1]
124,[0 0 0 0 0]
125,[1 0 0 1 1]
126,[0 0 0 0 0]
127,[0 1 1 0 1]
128,[1 1 0 1 0]
129,[1 0 0 0 1]
130,[1 0 0 1 0]
131,[1 1 0 1 1]
132,[0 1 1 0 1]
133,[0 0 0 1 0]
134,[1 0 0 0 0]
135,[0 0 0 0 0]
136,[0 0 0 0 1]
137,[1 1 0 1 0]
138,[0 0 0 0 0]
139,[0 1 1 1 0]
140,[0 1 0 0 1]
141,[0 0 0 1 0]
142,[0 1 0 1 0]
143,[0 0 0 0 0]
144,[0 0 0 0 0]
145,[0 1 1 1 1]
146,[0 1 0 0 1]
147,[0 1 0 0 0]
148,[0 0 0 0 0]
149,[0 0 1 1 1]
150,[0 0 1 0 1]
151,[1 0 0 0 0]
152,[0 0 0 0 0]
153,[0 0 0 0 0]
154,[0 0 0 0 1]
155,[0 0 0 0 0]
156,[1 1 0 1 1]
157,[1 1 0 0 0]
158,[0 0 0 0 0]
159,[1 1 0 0 1]
160,[0 0 0 1 1]
161,[1 0 0 0 1]
162,[0 0 0 0 0]
163,[0 1 0 1 0]
164,[0 0 0 0 0]
165,[0 0 0 0 0]
166,[0 0 0 0 0]
167,[0 0 0 0 1]
168,[0 0 0 0 0]
169,[0 0 0 1 0]
170,[0 1 1 0 0]
171,[0 1 1 0 1]
172,[0 0 0 0 0]
173,[0 0 0 0 0]
174,[1 1 0 0 0]
175,[0 0 0 0 0]
176,[0 0 0 0 0]
177,[1 0 0 1 1]
178,[0 1 0 1 1]
179,[1 1 0 1 1]
180,[1 0 1 1 0]
181,[1 0 0 0 1]
182,[1 1 1 0 0]
183,[0 0 0 0 0]
184,[1 0 0 0 0]
185,[0 0 0 0 0]
186,[0 1 0 0 0]
187,[1 1 0 1 1]
188,[1 0 1 1 0]
189,[1 0 0 0 0]
190,[1 1 0 0 0]
191,[0 1 1 1 0]
192,[0 0 0 0 0]
193,[0 0 0 0 0]
194,[0 0 0 0 0]
195,[0 0 0 0 0]
196,[1 0 1 1 0]
197,[0 0 0 0 0]
198,[0 0 0 0 0]
199,[0 0 0 0 0]
200,[0 0 0 0 0]
201,[0 0 0 0 1]
202,[0 0 0 1 0]
203,[1 0 0 1 0]
204,[1 0 0 1 1]
205,[1 1 0 1 0]
206,[0 0 0 0 0]
207,[1 0 1 0 1]
208,[0 0 0 0 0]
209,[0 0 0 0 0]
210,[1 0 1 0 1]
211,[0 0 0 0 0]
212,[0 1 1 0 1]
213,[1 0 0 0 0]
214,[0 0 0 0 0]
215,[0 0 0 0 0]
216,[0 0 0 0 0]
217,[0 0 0 1 0]
218,[0 0 0 0 1]
219,[1 0 0 0 0]
220,[0 0 0 0 0]
221,[1 1 0 0 1]
222,[0 0 0 1 0]
223,[0 0 0 0 0]
224,[0 1 1 0 0]
225,[0 0 0 0 1]
226,[1 1 0 0 1]
227,[1 0 0 0 0]
228,[1 1 0 0 1]
229,[0 0 0 0 0]
230,[0 0 1 0 1]
231,[0 0 0 0 0]
232,[0 0 0 0 0]
233,[0 0 0 0 0]
234,[0 0 0 0 0]
235,[1 0 0 1 1]
236,[1 1 1 1 1]
237,[1 0 0 0 1]
238,[1 0 1 0 0]
239,[0 0 0 1 0]
240,[0 0 0 0 0]
241,[0 0 0 0 0]
242,[0 0 0 0 0]
243,[0 0 0 1 1]
244,[1 1 1 1 1]
245,[0 0 0 0 0]
246,[1 1 0 0 0]
247,[0 0 0 0 0]
248,[0 0 0 0 0]
249,[1 1 0 0 0]
250,[0 1 0 1 0]
251,[1 1 0 1 1]
252,[1 0 0 1 1]
253,[1 0 0 1 1]
254,[1 1 0 0 0]
255,[0 0 0 0 0]
256,[0 1 0 0 0]
257,[0 1 0 0 1]
258,[0 1 0 0 0]
259,[0 0 0 1 0]
260,[0 1 1 1 0]
261,[0 0 0 0 1]
262,[0 0 0 0 0]
263,[1 0 0 1 1]
264,[0 0 0 0 0]
265,[1 0 1 0 0]
266,[0 0 0 0 0]
267,[0 0 0 0 0]
268,[1 1 1 1 0]
269,[0 0 0 0 1]
270,[0 0 0 1 0]
271,[1 0 0 1 1]
272,[0 0 0 0 0]
273,[1 0 0 1 0]
274,[0 0 0 0 0]
275,[1 0 0 1 0]
276,[0 1 0 1 0]
277,[1 0 0 0 1]
278,[0 0 0 0 0]
279,[0 0 0 0 0]
280,[0 0 0 1 0]
281,[0 0 0 0 0]
282,[0 0 0 0 1]
283,[0 0 0 0 0]
284,[1 0 0 1 1]
285,[0 0 0 0 0]
286,[1 0 0 0 1]
287,[0 0 0 0 0]
288,[0 0 0 0 0]
289,[0 0 0 0 0]
290,[0 1 1 0 1]
291,[0 0 0 0 1]
292,[0 0 0 0 0]
293,[0 0 1 0 0]
294,[0 0 0 0 0]
295,[0 1 0 1 1]
296,[0 0 0 0 1]
297,[0 0 0 0 0]
