i,x
0,[1 0 0 0 1]
1,[0 1 0 0 0]
2,[1 0 0 0 0]
3,[0 0 0 0 1]
4,[0 0 0 0 0]
5,[1 0 0 1 0]
6,[1 0 1 1 1]
7,[1 0 0 0 0]
8,[0 0 0 0 1]
9,[0 0 0 0 1]
10,[1 0 0 0 0]
11,[1 0 1 0 1]
12,[1 1 1 0 1]
13,[0 1 1 1 1]
14,[0 0 1 0 1]
15,[0 1 0 1 0]
16,[1 0 0 1 1]
17,[0 0 1 0 0]
18,[1 0 0 0 0]
19,[0 1 0 0 1]
20,[1 1 0 0 0]
21,[1 1 1 1 1]
22,[1 1 1 1 0]
23,[0 1 0 0 0]
24,[1 1 0 1 0]
25,[0 0 0 0 0]
26,[1 1 1 0 1]
27,[1 1 0 0 0]
28,[1 0 1 1 0]
29,[0 0 1 0 0]
30,[1 0 1 0 0]
31,[0 1 0 0 1]
32,[0 0 0 0 0]
33,[0 1 0 0 0]
34,[0 0 1 1 0]
35,[1 0 0 0 0]
36,[1 0 0 0 0]
37,[1 1 1 1 0]
38,[0 1 1 0 0]
39,[1 0 1 0 0]
40,[1 1 0 0 0]
41,[0 1 1 0 0]
42,[1 0 0 0 0]
43,[1 0 0 0 1]
44,[1 1 1 1 1]
45,[0 0 1 1 1]
46,[1 1 1 1 1]
47,[0 0 0 1 0]
48,[0 0 0 0 1]
49,[1 1 0 1 1]
50,[1 0 1 0 0]
51,[1 1 0 1 0]
52,[0 0 1 0 0]
53,[0 0 0 0 0]
54,[1 0 0 0 1]
55,[0 1 0 0 0]
56,[0 0 0 0 0]
57,[1 0 0 0 0]
58,[0 0 0 1 0]
59,[0 0 1 0 0]
60,[0 0 1 0 0]
61,[1 0 0 1 0]
62,[0 0 0 0 0]
63,[1 1 1 0 0]
64,[1 1 0 0 0]
65,[1 0 0 0 0]
66,[0 0 0 0 0]
67,[1 0 0 0 0]
68,[0 1 0 1 1]
69,[0 0 0 0 0]
70,[0 1 0 1 0]
71,[0 0 1 0 0]
72,[1 0 1 1 0]
73,[1 0 0 0 0]
74,[1 1 0 0 0]
75,[0 1 0 0 0]
76,[1 1 0 0 0]
77,[0 1 0 0 0]
78,[0 0 0 0 1]
79,[1 0 1 0 0]
80,[1 0 1 0 0]
81,[0 0 0 0 0]
82,[1 1 0 0 0]
83,[1 0 1 1 0]
84,[0 0 0 0 0]
85,[1 0 0 0 0]
86,[1 0 0 1 0]
87,[1 0 0 0 0]
88,[0 0 1 0 0]
89,[1 0 0 0 0]
90,[0 0 0 0 1]
91,[1 0 0 1 1]
92,[0 0 0 0 0]
93,[0 1 0 0 0]
94,[0 0 1 0 0]
95,[1 0 0 0 0]
96,[1 0 0 0 0]
97,[0 1 1 0 0]
98,[0 0 1 0 0]
99,[0 0 0 0 1]
100,[1 0 0 0 0]
101,[0 0 0 1 0]
102,[0 1 1 0 0]
103,[0 0 0 0 0]
104,[0 1 0 1 0]
105,[0 1 0 0 1]
106,[1 0 0 1 1]
107,[0 1 0 0 0]
108,[0 1 0 1 0]
109,[0 1 0 0 1]
110,[0 0 0 0 0]
111,[0 0 0 1 1]
112,[1 0 0 0 1]
113,[0 0 0 1 0]
114,[1 0 1 0 0]
115,[1 0 0 0 1]
116,[0 0 0 0 0]
117,[0 0 0 1 1]
118,[1 1 0 0 0]
119,[0 1 0 1 0]
120,[0 0 0 0 0]
121,[0 1 0 0 0]
122,[0 0 0 0 0]
123,[0 0 1 0 1]
124,[0 0 1 0 0]
125,[0 0 1 0 0]
126,[0 1 1 1 0]
127,[1 1 1 0 1]
128,[0 0 0 0 0]
129,[0 0 1 0 1]
130,[0 0 0 0 1]
131,[1 1 0 0 0]
132,[0 0 1 0 1]
133,[0 0 0 0 0]
