i,x
0,[0 1 1 1 1]
1,[0 1 1 1 1]
2,[0 1 1 1 1]
3,[0 1 1 1 1]
4,[0 1 1 1 1]
5,[0 1 1 1 1]
6,[0 1 1 1 1]
7,[1 1 1 1 1]
8,[0 1 1 1 1]
9,[0 1 1 1 1]
10,[0 1 1 1 1]
11,[0 1 1 1 1]
12,[0 1 1 1 1]
13,[0 1 1 1 1]
14,[0 1 1 1 1]
15,[0 1 1 1 1]
16,[0 1 1 1 1]
17,[0 1 1 1 1]
18,[0 1 1 1 1]
19,[0 1 1 1 1]
20,[0 1 1 1 1]
21,[0 1 1 1 1]
22,[0 1 1 1 1]
23,[0 1 1 1 1]
24,[0 1 1 1 1]
25,[0 1 1 1 1]
26,[0 1 1 1 1]
27,[0 1 1 1 1]
28,[0 1 1 1 1]
29,[0 1 1 1 1]
30,[0 1 1 1 1]
31,[0 1 1 1 0]
32,[0 1 1 1 1]
33,[0 1 1 1 1]
34,[0 1 1 1 1]
35,[0 1 1 1 1]
36,[0 1 1 1 1]
37,[0 0 1 1 1]
38,[0 1 1 1 1]
39,[0 1 1 1 1]
40,[0 0 1 0 1]
41,[0 1 1 1 1]
42,[0 1 1 1 1]
43,[0 1 1 1 1]
44,[0 1 1 1 1]
45,[0 1 1 1 1]
46,[0 1 1 1 1]
47,[0 1 1 1 1]
48,[0 1 1 1 1]
49,[0 1 1 1 1]
50,[0 1 1 1 1]
51,[0 0 1 1 1]
52,[0 1 1 1 1]
53,[0 1 1 1 1]
54,[0 1 1 1 1]
55,[0 1 1 1 1]
56,[0 1 1 1 1]
57,[0 1 1 1 1]
58,[0 1 1 1 1]
59,[0 1 1 1 1]
60,[0 1 1 1 1]
61,[0 1 1 1 1]
62,[0 1 1 1 1]
63,[0 1 1 0 1]
64,[0 1 1 1 1]
65,[1 1 1 1 1]
66,[0 1 1 1 1]
67,[0 1 1 1 1]
68,[0 1 1 1 1]
69,[0 1 1 1 1]
70,[0 1 1 1 1]
71,[0 1 1 1 1]
72,[0 1 1 1 1]
73,[0 1 1 1 1]
74,[0 1 1 1 1]
75,[0 1 1 1 1]
76,[0 1 1 1 1]
77,[0 1 1 1 1]
78,[0 1 1 1 1]
79,[0 1 1 1 1]
80,[0 1 1 1 1]
81,[0 1 1 1 1]
82,[0 1 1 1 1]
83,[0 1 1 1 1]
84,[0 1 1 1 1]
85,[0 1 1 1 1]
86,[0 1 1 1 1]
87,[0 1 1 1 1]
88,[0 1 1 1 1]
89,[0 1 1 1 1]
90,[0 1 1 1 1]
91,[0 1 1 1 1]
92,[0 1 1 1 1]
93,[0 1 1 1 1]
94,[0 1 1 1 1]
95,[0 1 1 1 1]
96,[0 1 1 1 1]
97,[0 1 1 1 1]
98,[0 1 1 1 1]
99,[0 1 1 1 1]
100,[0 1 1 1 1]
101,[0 1 1 1 1]
102,[0 1 1 1 1]
