i,x,probability
0,[0 0 0 0 0],0.9552078713660892
1,[1 0 0 0 0],0.017495242435617737
2,[0 1 0 0 0],0.006436140010373958
3,[0 0 1 0 0],0.0023677235903175327
4,[0 0 0 1 0],0.017495242435617737
5,[0 0 0 0 1],0.0003204365427216328
6,[1 1 0 0 0],0.00011788201626734329
7,[1 0 1 0 0],4.336637026859312e-05
8,[1 0 0 1 0],0.0003204365427216328
9,[1 0 0 0 1],5.8690000032438694e-06
10,[0 1 1 0 0],1.5953596060043887e-05
11,[0 1 0 1 0],0.00011788201626734329
12,[0 1 0 0 1],2.1590844414285474e-06
13,[0 0 1 1 0],4.336637026859312e-05
14,[0 0 1 0 1],7.942827777546898e-07
15,[0 0 0 1 1],5.8690000032438694e-06
16,[1 1 1 0 0],2.9220030441249623e-07
17,[1 1 0 1 0],2.1590844414285474e-06
18,[1 1 0 0 1],3.9545010959489625e-08
19,[1 0 1 1 0],7.942827777546898e-07
20,[1 0 1 0 1],1.4547796532895605e-08
21,[1 0 0 1 1],1.0749448469739444e-07
22,[0 1 1 1 0],2.9220030441249623e-07
23,[0 1 1 0 1],5.351835258797481e-09
24,[0 1 0 1 1],3.9545010959489625e-08
25,[0 0 1 1 1],1.4547796532895605e-08
26,[1 1 1 1 0],5.351835258797481e-09
27,[1 1 1 0 1],9.802228199212991e-11
28,[1 1 0 1 1],7.242921405850475e-10
29,[1 0 1 1 1],2.66452187923295e-10
30,[0 1 1 1 1],9.802228199212991e-11
31,[1 1 1 1 1],1.7953407200175225e-12
