i,x
0,[0. 0. 1.]
1,[0. 0. 1.]
2,[0. 0. 1.]
3,[1. 0. 1.]
4,[1. 0. 1.]
5,[1. 0. 1.]
6,[1. 0. 1.]
7,[1. 0. 1.]
8,[1. 0. 1.]
9,[1. 1. 1.]
10,[1. 1. 1.]
11,[0. 1. 1.]
12,[0. 1. 1.]
13,[1. 1. 1.]
14,[1. 0. 1.]
15,[1. 0. 0.]
16,[1. 1. 0.]
17,[1. 1. 1.]
18,[1. 1. 0.]
19,[1. 1. 1.]
20,[0. 1. 1.]
21,[0. 1. 1.]
22,[0. 1. 1.]
23,[0. 0. 1.]
24,[0. 0. 0.]
25,[0. 0. 0.]
26,[0. 0. 0.]
27,[0. 0. 0.]
28,[0. 0. 0.]
29,[0. 0. 0.]
30,[0. 0. 0.]
31,[0. 1. 0.]
32,[0. 1. 1.]
33,[0. 1. 1.]
34,[0. 1. 0.]
35,[0. 1. 0.]
36,[0. 1. 0.]
37,[0. 1. 0.]
38,[0. 1. 0.]
39,[0. 1. 0.]
40,[0. 1. 1.]
41,[0. 1. 0.]
42,[0. 1. 0.]
43,[0. 1. 0.]
44,[0. 0. 0.]
45,[0. 0. 0.]
46,[0. 0. 0.]
47,[0. 0. 0.]
48,[0. 0. 0.]
49,[0. 0. 0.]
