i,x
0,[1. 1. 0.]
1,[0. 0. 0.]
2,[1. 1. 1.]
3,[1. 1. 1.]
4,[0. 1. 1.]
5,[1. 1. 0.]
6,[1. 1. 1.]
7,[1. 1. 1.]
8,[1. 1. 1.]
9,[0. 1. 1.]
10,[1. 0. 1.]
11,[1. 0. 1.]
12,[0. 0. 1.]
13,[1. 0. 1.]
14,[0. 0. 1.]
15,[1. 0. 1.]
16,[1. 0. 1.]
17,[1. 0. 1.]
18,[0. 1. 1.]
19,[1. 1. 0.]
20,[0. 1. 1.]
21,[0. 1. 1.]
22,[0. 1. 1.]
23,[0. 0. 1.]
24,[0. 1. 0.]
25,[1. 0. 0.]
26,[1. 0. 0.]
27,[1. 1. 1.]
28,[1. 1. 0.]
29,[1. 1. 0.]
30,[1. 0. 1.]
31,[0. 1. 0.]
32,[0. 1. 0.]
33,[1. 1. 0.]
34,[0. 1. 0.]
35,[0. 1. 0.]
36,[1. 0. 0.]
37,[0. 0. 0.]
38,[0. 0. 0.]
39,[0. 0. 0.]
40,[0. 0. 0.]
41,[0. 0. 0.]
42,[0. 0. 0.]
43,[1. 0. 0.]
44,[1. 0. 0.]
45,[0. 1. 0.]
46,[0. 1. 0.]
47,[0. 1. 0.]
48,[0. 1. 1.]
49,[0. 0. 0.]
