i,x
0,[1. 0. 1.]
1,[1. 0. 1.]
2,[1. 0. 0.]
3,[0. 0. 0.]
4,[0. 0. 0.]
5,[0. 0. 1.]
6,[0. 0. 1.]
7,[0. 0. 1.]
8,[0. 0. 1.]
9,[0. 0. 1.]
10,[0. 0. 1.]
11,[0. 0. 1.]
12,[0. 0. 1.]
13,[0. 0. 1.]
14,[0. 0. 1.]
15,[1. 0. 0.]
16,[1. 0. 0.]
17,[1. 0. 0.]
18,[1. 0. 0.]
19,[1. 0. 0.]
20,[1. 0. 0.]
21,[1. 0. 0.]
22,[1. 0. 0.]
23,[1. 0. 0.]
24,[1. 0. 0.]
25,[1. 0. 0.]
26,[1. 0. 0.]
27,[1. 0. 0.]
28,[1. 1. 0.]
29,[1. 1. 1.]
30,[1. 1. 1.]
31,[1. 0. 1.]
32,[1. 0. 0.]
33,[1. 0. 0.]
34,[1. 0. 0.]
35,[1. 0. 0.]
36,[1. 0. 0.]
37,[1. 1. 0.]
38,[1. 1. 0.]
39,[0. 1. 0.]
40,[0. 1. 0.]
41,[0. 1. 0.]
42,[0. 1. 0.]
43,[0. 1. 0.]
44,[0. 1. 0.]
45,[1. 0. 0.]
46,[1. 1. 0.]
47,[1. 1. 1.]
48,[1. 1. 1.]
49,[0. 1. 1.]
50,[0. 1. 1.]
51,[0. 1. 1.]
52,[0. 1. 1.]
53,[0. 1. 1.]
54,[0. 1. 1.]
55,[0. 1. 1.]
56,[0. 1. 1.]
57,[0. 1. 1.]
58,[0. 1. 1.]
59,[1. 0. 1.]
60,[1. 0. 1.]
61,[1. 0. 1.]
62,[1. 0. 1.]
63,[1. 0. 1.]
64,[0. 0. 0.]
65,[0. 0. 0.]
66,[1. 0. 0.]
67,[1. 0. 0.]
68,[1. 0. 0.]
69,[1. 0. 0.]
70,[1. 0. 0.]
71,[1. 0. 0.]
72,[1. 0. 0.]
73,[1. 0. 0.]
74,[1. 1. 0.]
75,[1. 1. 0.]
76,[1. 1. 0.]
77,[1. 1. 0.]
78,[1. 1. 0.]
79,[1. 1. 0.]
80,[0. 1. 0.]
81,[0. 1. 0.]
82,[0. 1. 0.]
83,[1. 1. 0.]
84,[1. 1. 0.]
85,[1. 1. 0.]
86,[1. 1. 1.]
87,[1. 1. 1.]
88,[1. 1. 0.]
89,[1. 1. 0.]
90,[1. 1. 0.]
91,[1. 1. 0.]
92,[1. 1. 0.]
93,[1. 1. 0.]
94,[1. 1. 0.]
95,[1. 1. 0.]
96,[1. 1. 0.]
97,[1. 0. 0.]
98,[1. 1. 1.]
99,[1. 1. 1.]
100,[1. 1. 1.]
101,[1. 1. 1.]
102,[1. 1. 1.]
103,[1. 1. 0.]
104,[1. 1. 0.]
105,[1. 1. 0.]
106,[1. 1. 0.]
107,[1. 1. 0.]
108,[1. 1. 0.]
109,[1. 1. 0.]
110,[1. 1. 0.]
111,[1. 1. 0.]
112,[1. 1. 0.]
113,[1. 1. 1.]
114,[0. 1. 1.]
115,[0. 1. 1.]
116,[0. 1. 1.]
